customer_id,region,segment,industry,acquisition_channel,signup_date
CUST10001,West,Mid-Market,Retail,Email,2026-01-07
CUST10002,South,Mid-Market,Finance,Event,2025-06-06
CUST10003,West,Enterprise,Healthcare,Email,2025-05-25
CUST10004,East,Mid-Market,Retail,Partner,2025-03-12
CUST10005,North,SMB,Retail,Partner,2025-01-03
CUST10006,West,SMB,Retail,Referral,2025-10-01
CUST10007,West,Mid-Market,Finance,Referral,2026-06-23
CUST10008,West,SMB,Manufacturing,Email,2025-05-01
CUST10009,North,SMB,Healthcare,Website,2025-08-29
CUST10010,South,SMB,Manufacturing,Website,2026-05-26
CUST10011,South,Mid-Market,Healthcare,Referral,2026-02-26
CUST10012,West,Enterprise,Healthcare,Email,2025-01-03
CUST10013,East,Mid-Market,Finance,Email,2025-10-01
CUST10014,West,SMB,Finance,Partner,2025-03-20
CUST10015,South,SMB,Retail,Partner,2025-05-15
CUST10016,North,Mid-Market,Healthcare,Website,2025-05-15
CUST10017,East,SMB,Manufacturing,Referral,2025-12-01
CUST10018,North,Mid-Market,Healthcare,Website,2025-04-19
CUST10019,West,Mid-Market,Finance,Email,2025-05-18
CUST10020,East,SMB,Manufacturing,Email,2025-05-04
CUST10021,West,SMB,Finance,Referral,2025-07-14
CUST10022,South,SMB,Retail,Referral,2025-12-25
CUST10023,West,Enterprise,Manufacturing,Referral,2025-08-07
CUST10024,West,Mid-Market,Manufacturing,Event,2025-06-28
CUST10025,West,SMB,Finance,Partner,2025-10-10
CUST10026,North,Enterprise,Finance,Email,2025-12-02
CUST10027,South,SMB,Technology,Partner,2025-01-09
CUST10028,North,SMB,Finance,Email,2026-05-02
CUST10029,North,Enterprise,Manufacturing,Partner,2026-05-16
CUST10030,East,SMB,Finance,Referral,2025-11-25
CUST10031,East,SMB,Healthcare,Event,2025-11-10
CUST10032,West,Mid-Market,Technology,Email,2026-01-15
CUST10033,South,SMB,Healthcare,Email,2025-08-29
CUST10034,South,Mid-Market,Healthcare,Event,2025-07-19
CUST10035,South,SMB,Manufacturing,Referral,2025-07-12
CUST10036,North,SMB,Finance,Website,2025-03-29
CUST10037,North,SMB,Technology,Partner,2026-04-05
CUST10038,South,SMB,Technology,Referral,2025-06-25
CUST10039,North,SMB,Manufacturing,Partner,2025-06-05
CUST10040,East,SMB,Manufacturing,Referral,2026-06-11
CUST10041,South,Enterprise,Retail,Referral,2025-10-04
CUST10042,West,SMB,Technology,Referral,2025-12-06
CUST10043,East,SMB,Technology,Referral,2025-05-15
CUST10044,South,SMB,Technology,Email,2025-06-01
CUST10045,West,SMB,Retail,Partner,2026-02-02
CUST10046,West,SMB,Retail,Partner,2025-09-04
CUST10047,South,Mid-Market,Manufacturing,Website,2025-03-22
CUST10048,South,SMB,Technology,Partner,2026-04-02
CUST10049,East,Enterprise,Technology,Website,2025-08-08
CUST10050,North,Enterprise,Manufacturing,Referral,2025-12-31
CUST10051,North,SMB,Manufacturing,Partner,2025-07-06
CUST10052,North,SMB,Retail,Website,2025-11-03
CUST10053,West,SMB,Unknown,Referral,2026-02-28
CUST10054,East,Mid-Market,Technology,Referral,2026-04-29
CUST10055,East,SMB,Technology,Event,2025-04-24
CUST10056,West,Enterprise,Retail,Event,2026-01-03
CUST10057,South,Mid-Market,Manufacturing,Website,2026-05-15
CUST10058,East,Mid-Market,Retail,Email,2025-12-17
CUST10059,North,Mid-Market,Healthcare,Email,2025-03-20
CUST10060,North,Enterprise,Retail,Referral,2025-04-14
CUST10061,East,SMB,Technology,Partner,2025-04-21
CUST10062,South,SMB,Manufacturing,Email,2025-02-28
CUST10063,East,SMB,Manufacturing,Referral,2026-02-16
CUST10064,West,Enterprise,Retail,Website,2026-06-11
CUST10065,East,Mid-Market,Manufacturing,Referral,2025-10-10
CUST10066,East,Mid-Market,Finance,Referral,2025-11-23
CUST10067,East,SMB,Finance,Referral,2026-02-27
CUST10068,South,Enterprise,Healthcare,Referral,2025-08-15
CUST10069,North,SMB,Manufacturing,Website,2025-09-15
CUST10070,South,SMB,Retail,Event,2025-11-18
CUST10071,North,Enterprise,Technology,Website,2025-06-16
CUST10072,South,SMB,Manufacturing,Email,2025-02-03
CUST10073,West,SMB,Technology,Email,2025-11-07
CUST10074,North,Mid-Market,Finance,Email,2026-03-25
CUST10075,North,SMB,Technology,Event,2025-02-09
CUST10076,South,SMB,Retail,Website,2025-04-29
CUST10077,South,SMB,Finance,Referral,2025-05-24
CUST10078,East,SMB,Finance,Website,2026-03-16
CUST10079,East,Enterprise,Retail,Partner,2025-10-03
CUST10080,West,Mid-Market,Retail,Email,2025-10-19
CUST10081,East,SMB,Healthcare,Event,2025-12-19
CUST10082,South,SMB,Manufacturing,Referral,2025-06-01
CUST10083,West,SMB,Finance,Referral,2026-01-25
CUST10084,North,Mid-Market,Technology,Event,2025-01-17
CUST10085,North,Enterprise,Technology,Email,2025-03-04
CUST10086,North,Enterprise,Healthcare,Email,2026-03-22
CUST10087,East,SMB,Retail,Partner,2025-12-26
CUST10088,South,SMB,Finance,Partner,2025-04-07
CUST10089,North,SMB,Healthcare,Referral,2025-08-28
CUST10090,South,Mid-Market,Finance,Email,2025-01-29
CUST10091,North,SMB,Manufacturing,Referral,2026-01-02
CUST10092,East,Mid-Market,Finance,Event,2026-02-17
CUST10093,South,Mid-Market,Technology,Website,2025-06-02
CUST10094,South,SMB,Technology,Partner,2025-07-11
CUST10095,South,SMB,Finance,Referral,2025-05-10
CUST10096,East,SMB,Finance,Email,2025-08-01
CUST10097,South,SMB,Manufacturing,Email,2025-05-29
CUST10098,North,SMB,Finance,Event,2025-05-15
CUST10099,North,Mid-Market,Retail,Email,2025-08-23
CUST10100,West,SMB,Finance,Referral,2026-04-15
CUST10101,West,SMB,Healthcare,Referral,2026-02-21
CUST10102,East,Mid-Market,Retail,Event,2025-06-12
CUST10103,North,Mid-Market,Retail,Partner,2026-05-30
CUST10104,West,SMB,Retail,Website,2025-04-25
CUST10105,West,Enterprise,Technology,Event,2026-05-13
CUST10106,East,Enterprise,Retail,Email,2025-06-18
CUST10107,South,Mid-Market,Healthcare,Website,2025-10-22
CUST10108,South,Mid-Market,Retail,Email,2025-04-21
CUST10109,North,SMB,Retail,Email,2026-02-21
CUST10110,West,Enterprise,Retail,Email,2025-06-23
CUST10111,North,SMB,Manufacturing,Event,2026-04-22
CUST10112,North,Enterprise,Finance,Partner,2025-02-15
CUST10113,South,Mid-Market,Technology,Partner,2025-10-02
CUST10114,East,SMB,Retail,Email,2025-03-28
CUST10115,North,SMB,Retail,Website,2026-05-01
CUST10116,West,Mid-Market,Technology,Website,2025-08-16
CUST10117,West,Mid-Market,Technology,Event,2026-01-04
CUST10118,East,SMB,Healthcare,Referral,2026-04-26
CUST10119,South,Mid-Market,Manufacturing,Partner,2025-10-20
CUST10120,East,Enterprise,Finance,Referral,2025-02-01
CUST10121,East,SMB,Manufacturing,Referral,2025-05-01
CUST10122,East,SMB,Manufacturing,Partner,2025-04-27
CUST10123,North,SMB,Finance,Event,2026-05-15
CUST10124,South,Mid-Market,Retail,Partner,2026-05-11
CUST10125,North,SMB,Healthcare,Website,2025-09-18
CUST10126,South,Enterprise,Technology,Referral,2026-05-01
CUST10127,South,SMB,Healthcare,Website,2025-05-15
CUST10128,North,Mid-Market,Finance,Event,2026-01-06
CUST10129,North,SMB,Technology,Referral,2025-08-02
CUST10130,East,SMB,Healthcare,Referral,2025-05-12
CUST10131,North,Mid-Market,Technology,Website,2025-05-17
CUST10132,West,SMB,Retail,Partner,2025-08-18
CUST10133,East,Mid-Market,Manufacturing,Event,2025-07-05
CUST10134,South,Enterprise,Manufacturing,Partner,2025-04-26
CUST10135,East,Enterprise,Healthcare,Email,2025-07-02
CUST10136,North,Enterprise,Finance,Website,2025-03-12
CUST10137,West,SMB,Manufacturing,Website,2026-06-14
CUST10138,South,Mid-Market,Finance,Email,2025-07-27
CUST10139,West,Enterprise,Healthcare,Website,2025-02-28
CUST10140,North,SMB,Healthcare,Partner,2025-11-11
CUST10141,South,SMB,Retail,Referral,2026-04-28
CUST10142,South,Mid-Market,Finance,Website,2025-07-16
CUST10143,West,SMB,Manufacturing,Partner,2026-04-07
CUST10144,East,Mid-Market,Manufacturing,Event,2025-11-30
CUST10145,South,Enterprise,Technology,Website,2026-02-08
CUST10146,North,Mid-Market,Retail,Event,2025-06-11
CUST10147,South,SMB,Healthcare,Partner,2025-01-21
CUST10148,South,SMB,Finance,Email,2025-07-08
CUST10149,South,SMB,Healthcare,Website,2026-05-20
CUST10150,North,SMB,Healthcare,Event,2026-03-08
CUST10151,West,Mid-Market,Healthcare,Website,2026-03-05
CUST10152,West,Enterprise,Technology,Event,2026-04-25
CUST10153,North,SMB,Retail,Email,2025-07-23
CUST10154,East,SMB,Technology,Referral,2025-06-25
CUST10155,North,Enterprise,Healthcare,Website,2026-05-21
CUST10156,East,SMB,Technology,Email,2025-11-09
CUST10157,South,Mid-Market,Technology,Website,2025-06-12
CUST10158,East,SMB,Healthcare,Email,2025-06-01
CUST10159,East,Mid-Market,Manufacturing,Email,2026-04-24
CUST10160,West,SMB,Manufacturing,Referral,2025-01-30
CUST10161,North,Mid-Market,Healthcare,Referral,2025-02-03
CUST10162,West,SMB,Finance,Referral,2026-02-07
CUST10163,North,Mid-Market,Manufacturing,Referral,2025-01-01
CUST10164,North,SMB,Healthcare,Website,2025-04-04
CUST10165,East,SMB,Manufacturing,Referral,2026-06-25
CUST10166,South,Mid-Market,Technology,Email,2025-08-21
CUST10167,West,SMB,Healthcare,Referral,2026-02-02
CUST10168,West,SMB,Healthcare,Email,2025-09-23
CUST10169,South,SMB,Technology,Event,2025-02-19
CUST10170,West,SMB,Manufacturing,Email,2025-04-11
CUST10171,South,SMB,Manufacturing,Partner,2026-02-20
CUST10172,South,Enterprise,Healthcare,Referral,2025-02-21
CUST10173,North,SMB,Manufacturing,Event,2025-11-21
CUST10174,West,Mid-Market,Retail,Referral,2025-07-10
CUST10175,North,Enterprise,Manufacturing,Partner,2025-07-22
CUST10176,North,SMB,Manufacturing,Partner,2026-06-04
CUST10177,South,Mid-Market,Finance,Email,2025-11-27
CUST10178,West,Enterprise,Technology,Partner,2025-12-02
CUST10179,West,Mid-Market,Manufacturing,Email,2025-07-11
CUST10180,East,SMB,Retail,Event,2025-07-28
CUST10181,West,SMB,Manufacturing,Referral,2026-01-10
CUST10182,West,SMB,Manufacturing,Event,2025-01-22
CUST10183,South,Mid-Market,Technology,Website,2025-05-10
CUST10184,South,Enterprise,Finance,Event,2025-11-24
CUST10185,West,Enterprise,Technology,Website,2025-12-07
CUST10186,East,SMB,Unknown,Event,2025-02-20
CUST10187,South,Mid-Market,Manufacturing,Referral,2026-03-07
CUST10188,North,SMB,Manufacturing,Event,2025-10-24
CUST10189,East,Enterprise,Manufacturing,Website,2025-05-10
CUST10190,North,SMB,Manufacturing,Partner,2026-02-15
CUST10191,West,Enterprise,Retail,Event,2026-06-26
CUST10192,North,Enterprise,Finance,Website,2025-08-20
CUST10193,North,SMB,Manufacturing,Referral,2025-06-04
CUST10194,West,SMB,Finance,Website,2025-06-13
CUST10195,North,Enterprise,Retail,Referral,2025-11-20
CUST10196,North,SMB,Healthcare,Referral,2025-01-26
CUST10197,East,Mid-Market,Retail,Email,2025-09-21
CUST10198,West,Enterprise,Manufacturing,Referral,2025-01-14
CUST10199,North,Mid-Market,Retail,Website,2025-01-22
CUST10200,South,SMB,Finance,Website,2025-08-23
