lead_id,customer_id,sales_rep_id,lead_source,lead_created_date,lead_score,lead_status
LEAD100001,CUST10584,REP1028,Event,2026-05-17,70.0,Nurturing
LEAD100002,CUST10462,REP1019,Referral,2026-04-08,86.0,Qualified
LEAD100003,CUST10969,REP1029,Partner,2026-05-17,25.0,Low Priority
LEAD100004,CUST11042,REP1021,Email,2026-03-02,34.0,Low Priority
LEAD100005,CUST10554,REP1002,Event,2026-01-07,61.0,Nurturing
LEAD100006,CUST10645,REP1028,Partner,2026-05-23,49.0,New
LEAD100007,CUST10752,REP1006,Referral,2026-05-23,77.0,Nurturing
LEAD100008,CUST10787,REP1012,Event,2026-04-26,52.0,New
LEAD100009,CUST10763,REP1008,Event,2026-03-15,100.0,Qualified
LEAD100010,CUST10940,REP1022,Partner,2026-01-02,44.0,New
LEAD100011,CUST11179,REP1001,Website,2026-05-12,49.0,New
LEAD100012,CUST10994,REP1020,Referral,2026-04-30,20.0,Low Priority
LEAD100013,CUST10162,REP1026,Partner,2026-05-01,40.0,New
LEAD100014,CUST10572,REP1024,Email,2026-01-31,39.0,Low Priority
LEAD100015,CUST10554,REP1010,Email,2026-05-13,81.0,Qualified
LEAD100016,CUST10611,REP1027,Event,2026-05-12,47.0,New
LEAD100017,CUST10635,REP1011,Website,2026-06-05,36.0,Low Priority
LEAD100018,CUST10862,REP1021,Partner,2026-04-13,45.0,New
LEAD100019,CUST10506,REP1016,Email,2026-05-13,65.0,Nurturing
LEAD100020,CUST10317,REP1003,Event,2026-03-14,83.0,Qualified
LEAD100021,CUST10550,REP1001,Website,2026-05-07,99.0,Qualified
LEAD100022,CUST11026,REP1006,Event,2026-05-06,23.0,Low Priority
LEAD100023,CUST10374,REP1029,Website,2026-05-22,88.0,Qualified
LEAD100024,CUST10025,REP1029,Website,2026-06-05,51.0,New
LEAD100025,CUST11172,REP1013,Event,2026-01-01,85.0,Qualified
LEAD100026,CUST10235,REP1030,Email,2026-05-21,23.0,Low Priority
LEAD100027,CUST10724,REP1002,Event,2026-05-24,70.0,Nurturing
LEAD100028,CUST10961,REP1030,Email,2026-04-09,95.0,Qualified
LEAD100029,CUST10330,REP1007,Email,2026-04-05,23.0,Low Priority
LEAD100030,CUST10409,REP1002,Partner,2026-05-11,84.0,Qualified
LEAD100031,CUST10337,REP1023,Partner,2026-03-24,29.0,Low Priority
LEAD100032,CUST10180,REP1012,Partner,2026-03-16,99.0,Qualified
LEAD100033,CUST10184,REP1009,Referral,2026-05-26,80.0,Qualified
LEAD100034,CUST10225,REP1023,Event,2026-05-23,93.0,Qualified
LEAD100035,CUST10550,REP1010,Referral,2026-02-07,92.0,Qualified
LEAD100036,CUST10637,REP1023,Email,2026-05-31,45.0,New
LEAD100037,CUST10020,REP1006,Email,2026-03-01,53.0,New
LEAD100038,CUST11016,REP1003,Partner,2026-01-25,76.0,Nurturing
LEAD100039,CUST10812,REP1010,Email,2026-06-08,34.0,Low Priority
LEAD100040,CUST10085,REP1019,Website,2026-02-13,44.0,New
LEAD100041,CUST11012,REP1007,Referral,2026-02-06,28.0,Low Priority
LEAD100042,CUST10037,REP1005,Partner,2026-02-18,91.0,Qualified
LEAD100043,CUST10673,REP1023,Referral,2026-03-30,40.0,New
LEAD100044,CUST10559,REP1015,Event,2026-01-31,53.0,New
LEAD100045,CUST10603,REP1013,Event,2026-01-29,56.0,New
LEAD100046,CUST11148,REP1008,Email,2026-03-13,50.0,New
LEAD100047,CUST11113,REP1001,Referral,2026-02-09,83.0,Qualified
LEAD100048,CUST10335,REP1002,Website,2026-02-04,94.0,Qualified
LEAD100049,CUST10696,REP1021,Email,2026-06-15,66.0,Nurturing
LEAD100050,CUST11152,REP1003,Event,2026-04-18,87.0,Qualified
LEAD100051,CUST10875,REP1008,Partner,2026-01-03,28.0,Low Priority
LEAD100052,CUST11066,REP1028,Event,2026-01-19,98.0,Qualified
LEAD100053,CUST10522,REP1011,Event,2026-05-28,29.0,Low Priority
LEAD100054,CUST10340,REP1023,Partner,2026-02-18,25.0,Low Priority
LEAD100055,CUST10613,REP1011,Referral,2026-01-28,21.0,Low Priority
LEAD100056,CUST10981,REP1028,Website,2026-05-01,39.0,Low Priority
LEAD100057,CUST11115,REP1025,Email,2026-06-01,87.0,Qualified
LEAD100058,CUST10824,REP1015,Partner,2026-03-14,44.0,New
LEAD100059,CUST10848,REP1021,Website,2026-05-15,84.0,Qualified
LEAD100060,CUST10615,REP1013,Website,2026-03-18,54.0,New
LEAD100061,CUST10384,REP1029,Event,2026-01-20,28.0,Low Priority
LEAD100062,CUST10508,REP1011,Referral,2026-05-25,58.0,New
LEAD100063,CUST10598,REP1026,Referral,2026-06-16,38.0,Low Priority
LEAD100064,CUST10979,REP1019,Email,2026-06-28,43.0,New
LEAD100065,CUST10667,REP1020,Referral,2026-01-19,61.0,Nurturing
LEAD100066,CUST10952,REP1011,Event,2026-04-13,84.0,Qualified
LEAD100067,CUST10033,REP1025,Email,2026-04-23,67.0,Nurturing
LEAD100068,CUST10909,REP1023,Referral,2026-01-15,38.0,Low Priority
LEAD100069,CUST10609,REP1025,Referral,2026-06-22,78.0,Nurturing
LEAD100070,CUST11198,REP1025,Event,2026-01-19,76.0,Nurturing
LEAD100071,CUST10567,REP1005,Partner,2026-02-18,39.0,Low Priority
LEAD100072,CUST10575,REP1027,Event,2026-06-25,88.0,Qualified
LEAD100073,CUST10153,REP1026,Referral,2026-04-11,88.0,Qualified
LEAD100074,CUST10969,REP1008,Website,2026-05-03,68.0,Nurturing
LEAD100075,CUST10842,REP1030,Event,2026-03-31,43.0,New
LEAD100076,CUST11035,REP1016,Referral,2026-05-17,48.0,New
LEAD100077,CUST10112,REP1010,Event,2026-01-15,55.0,New
LEAD100078,CUST10254,REP1007,Email,2026-05-03,35.0,Low Priority
LEAD100079,CUST11053,REP1011,Referral,2026-01-13,44.0,New
LEAD100080,CUST10051,REP1002,Email,2026-02-02,30.0,Low Priority
LEAD100081,CUST10610,REP1021,Website,2026-04-02,32.0,Low Priority
LEAD100082,CUST10486,REP1022,Referral,2026-03-23,80.0,Qualified
LEAD100083,CUST11128,REP1021,Referral,2026-01-28,30.0,Low Priority
LEAD100084,CUST11029,REP1017,Email,2026-05-25,57.0,New
LEAD100085,CUST11077,REP1011,Partner,2026-02-24,54.0,New
LEAD100086,CUST10347,REP1022,Email,2026-06-06,23.0,Low Priority
LEAD100087,CUST10706,REP1027,Partner,2026-01-03,87.0,Qualified
LEAD100088,CUST10841,REP1003,Email,2026-02-12,99.0,Qualified
LEAD100089,CUST11161,REP1012,Website,2026-02-23,71.0,Nurturing
LEAD100090,CUST10009,REP1030,Email,2026-04-18,74.0,Nurturing
LEAD100091,CUST11173,REP1026,Website,2026-03-14,38.0,Low Priority
LEAD100092,CUST10427,REP1030,Website,2026-01-29,88.0,Qualified
LEAD100093,CUST10154,REP1006,Email,2026-04-14,83.0,Qualified
LEAD100094,CUST10739,REP1014,Website,2026-06-23,55.0,New
LEAD100095,CUST10938,REP1004,Email,2026-01-25,77.0,Nurturing
LEAD100096,CUST10156,REP1026,Website,2026-02-15,97.0,Qualified
LEAD100097,CUST10049,REP1016,Website,2026-03-28,68.0,Nurturing
LEAD100098,CUST11076,REP1008,Event,2026-05-12,36.0,Low Priority
LEAD100099,CUST11121,REP1003,Website,2026-01-25,46.0,New
LEAD100100,CUST10188,REP1023,Event,2026-02-11,34.0,Low Priority
LEAD100101,CUST11085,REP1025,Referral,2026-02-12,46.0,New
LEAD100102,CUST11092,REP1027,Email,2026-04-22,92.0,Qualified
LEAD100103,CUST11197,REP1030,Event,2026-01-15,35.0,Low Priority
LEAD100104,CUST10260,REP1025,Website,2026-04-30,92.0,Qualified
LEAD100105,CUST10695,REP1024,Referral,2026-03-19,43.0,New
LEAD100106,CUST11194,REP1025,Partner,2026-03-01,60.0,Nurturing
LEAD100107,CUST11084,REP1030,Event,2026-06-06,62.0,Nurturing
LEAD100108,CUST10726,REP1014,Website,2026-05-29,30.0,Low Priority
LEAD100109,CUST10237,REP1023,Website,2026-05-26,34.0,Low Priority
LEAD100110,CUST10102,REP1025,Referral,2026-06-10,44.0,New
LEAD100111,CUST10312,REP1004,Referral,2026-02-12,24.0,Low Priority
LEAD100112,CUST10079,REP1021,Referral,2026-06-04,81.0,Qualified
LEAD100113,CUST10235,REP1011,Website,2026-02-01,64.0,Nurturing
LEAD100114,CUST10090,REP1004,Event,2026-03-01,88.0,Qualified
LEAD100115,CUST10915,REP1006,Email,2026-04-11,89.0,Qualified
LEAD100116,CUST10708,REP1004,Website,2026-05-15,48.0,New
LEAD100117,CUST10622,REP1027,Partner,2026-04-15,86.0,Qualified
LEAD100118,CUST10972,REP1024,Email,2026-04-12,24.0,Low Priority
LEAD100119,CUST10493,REP1004,Email,2026-03-10,54.0,New
LEAD100120,CUST10484,REP1019,Event,2026-04-18,73.0,Nurturing
LEAD100121,CUST10249,REP1020,Email,2026-03-27,57.0,New
LEAD100122,CUST10534,REP1016,Email,2026-03-28,79.0,Nurturing
LEAD100123,CUST10210,REP1019,Website,2026-04-17,89.0,Qualified
LEAD100124,CUST10708,REP1028,Website,2026-04-19,54.0,New
LEAD100125,CUST11197,REP1016,Email,2026-03-01,42.0,New
LEAD100126,CUST10640,REP1020,Event,2026-01-25,67.0,Nurturing
LEAD100127,CUST10359,REP1018,Referral,2026-02-24,90.0,Qualified
LEAD100128,CUST10826,REP1012,Email,2026-03-16,99.0,Qualified
LEAD100129,CUST10985,REP1027,Referral,2026-01-30,86.0,Qualified
LEAD100130,CUST10567,REP1013,Partner,2026-02-02,39.0,Low Priority
LEAD100131,CUST10301,REP1024,Email,2026-06-22,36.0,Low Priority
LEAD100132,CUST10857,REP1019,Email,2026-02-20,66.0,Nurturing
LEAD100133,CUST10225,REP1021,Website,2026-05-14,52.0,New
LEAD100134,CUST11197,REP1023,Event,2026-01-24,69.0,Nurturing
LEAD100135,CUST10382,REP1023,Event,2026-06-25,94.0,Qualified
LEAD100136,CUST10421,REP1017,Partner,2026-02-08,64.0,Nurturing
LEAD100137,CUST10873,REP1019,Referral,2026-03-13,48.0,New
LEAD100138,CUST10015,REP1016,Partner,2026-05-22,90.0,Qualified
LEAD100139,CUST10244,REP1011,Event,2026-02-06,55.0,New
LEAD100140,CUST10151,REP1022,Partner,2026-04-10,69.0,Nurturing
LEAD100141,CUST10470,REP1027,Website,2026-05-23,30.0,Low Priority
LEAD100142,CUST10665,REP1022,Website,2026-01-05,61.0,Nurturing
LEAD100143,CUST10216,REP1024,Event,2026-01-05,54.0,New
LEAD100144,CUST10414,REP1025,Email,2026-05-23,29.0,Low Priority
LEAD100145,CUST10927,REP1012,Email,2026-02-17,37.0,Low Priority
LEAD100146,CUST11128,REP1002,Website,2026-06-14,76.0,Nurturing
LEAD100147,CUST10018,REP1011,Website,2026-06-17,34.0,Low Priority
LEAD100148,CUST10753,REP1023,Referral,2026-06-09,30.0,Low Priority
LEAD100149,CUST10031,REP1025,Referral,2026-06-30,24.0,Low Priority
LEAD100150,CUST10625,REP1016,Referral,2026-05-29,22.0,Low Priority
LEAD100151,CUST11056,REP1024,Partner,2026-03-11,55.0,New
LEAD100152,CUST10958,REP1003,Referral,2026-06-29,59.0,New
LEAD100153,CUST10280,REP1020,Website,2026-03-04,70.0,Nurturing
LEAD100154,CUST10311,REP1021,Partner,2026-04-17,66.0,Nurturing
LEAD100155,CUST10941,REP1016,Email,2026-01-02,63.0,Nurturing
LEAD100156,CUST10984,REP1022,Email,2026-06-24,100.0,Qualified
LEAD100157,CUST10338,REP1015,Referral,2026-04-18,40.0,New
LEAD100158,CUST10004,REP1016,Referral,2026-06-21,77.0,Nurturing
LEAD100159,CUST10534,REP1019,Partner,2026-03-05,26.0,Low Priority
LEAD100160,CUST10744,REP1024,Website,2026-02-26,88.0,Qualified
LEAD100161,CUST10533,REP1008,Event,2026-04-05,49.0,New
LEAD100162,CUST11122,REP1010,Event,2026-06-06,48.0,New
LEAD100163,CUST10977,REP1013,Website,2026-04-10,30.0,Low Priority
LEAD100164,CUST10946,REP1007,Event,2026-05-24,61.0,Nurturing
LEAD100165,CUST10025,REP1011,Website,2026-02-08,52.0,New
LEAD100166,CUST11025,REP1011,Partner,2026-05-21,98.0,Qualified
LEAD100167,CUST10907,REP1010,Email,2026-05-13,34.0,Low Priority
LEAD100168,CUST10477,REP1013,Referral,2026-06-12,53.0,New
LEAD100169,CUST10708,REP1016,Referral,2026-01-11,92.0,Qualified
LEAD100170,CUST10990,REP1021,Website,2026-03-11,85.0,Qualified
LEAD100171,CUST11088,REP1010,Email,2026-01-17,81.0,Qualified
LEAD100172,CUST10661,REP1026,Website,2026-03-14,62.0,Nurturing
LEAD100173,CUST10050,REP1015,Partner,2026-05-18,90.0,Qualified
