opportunity_id,customer_id,sales_rep_id,product_id,created_date,deal_size,stage,close_date
OPP200001,CUST10009,REP1021,P1002,2026-05-16,8174,Won,2026-06-27
OPP200002,CUST10988,REP1001,P1009,2026-01-25,18961,Proposal,2026-04-03
OPP200003,CUST10135,REP1022,P1001,2026-05-05,17329,Prospecting,2026-07-24
OPP200004,CUST10971,REP1024,P1011,2026-04-26,6942,Lost,2026-07-12
OPP200005,CUST11058,REP1022,P1003,2026-05-30,2728,Proposal,2026-07-17
OPP200006,CUST10434,REP1016,P1004,2026-03-03,27089,Won,2026-06-16
OPP200007,CUST10233,REP1001,P1011,2026-06-03,16974,Won,2026-08-22
OPP200008,CUST10857,REP1015,P1011,2026-04-28,17628,Prospecting,2026-07-05
OPP200009,CUST10083,REP1020,P1002,2026-02-12,2674,Qualified,2026-06-05
OPP200010,CUST10696,REP1018,P1002,2026-02-05,7066,Qualified,2026-02-22
OPP200011,CUST10398,REP1018,P1011,2026-05-30,3114,Proposal,2026-08-25
OPP200012,CUST10510,REP1016,P1012,2026-04-18,29394,Prospecting,2026-08-07
OPP200013,CUST10991,REP1017,P1006,2026-01-20,23322,Proposal,2026-04-11
OPP200014,CUST11192,REP1010,P1002,2026-01-21,16846,Won,2026-04-01
OPP200015,CUST10483,REP1019,P1002,2026-05-18,20745,Prospecting,2026-07-05
OPP200016,CUST10349,REP1009,P1004,2026-01-29,5798,Negotiation,2026-03-07
OPP200017,CUST11002,REP1015,P1009,2026-02-06,29658,Proposal,2026-04-15
OPP200018,CUST10496,REP1013,P1002,2026-04-13,16000,Prospecting,2026-07-30
OPP200019,CUST10240,REP1022,P1008,2026-05-24,15981,Prospecting,2026-07-22
OPP200020,CUST11084,REP1027,P1010,2026-02-25,28821,Prospecting,2026-03-17
OPP200021,CUST11191,REP1019,P1002,2026-04-21,3782,Negotiation,2026-06-21
OPP200022,CUST10347,REP1005,P1012,2026-04-27,13302,Prospecting,2026-05-15
OPP200023,CUST10190,REP1021,P1012,2026-04-10,3560,Won,2026-07-31
OPP200024,CUST10184,REP1010,P1004,2026-04-24,13335,Won,2026-06-30
OPP200025,CUST10719,REP1002,P1002,2026-02-07,8748,Prospecting,2026-03-10
OPP200026,CUST10372,REP1006,P1004,2026-04-14,14372,Won,2026-06-30
OPP200027,CUST10748,REP1030,P1004,2026-01-01,21357,Lost,2026-03-09
OPP200028,CUST10912,REP1013,P1004,2026-05-02,9123,Prospecting,2026-07-05
OPP200029,CUST10007,REP1007,P1012,2026-05-12,2484,Lost,2026-07-24
OPP200030,CUST11032,REP1005,P1002,2026-05-12,5691,Qualified,2026-08-31
OPP200031,CUST10035,REP1020,P1004,2026-01-05,21757,Negotiation,2026-04-18
OPP200032,CUST10138,REP1023,P1010,2026-06-01,17788,Prospecting,2026-07-07
OPP200033,CUST10870,REP1011,P1001,2026-03-14,29380,Won,2026-04-17
OPP200034,CUST10747,REP1004,P1001,2026-01-14,26931,Won,2026-05-12
OPP200035,CUST11175,REP1011,P1004,2026-03-30,5672,Lost,2026-06-17
OPP200036,CUST10681,REP1020,P1012,2026-04-05,22336,Lost,2026-04-14
OPP200037,CUST10501,REP1004,P1011,2026-03-08,3618,Prospecting,2026-05-13
