transaction_id,customer_id,sales_rep_id,product_id,transaction_date,revenue,quantity,discount_pct,net_revenue
TXN300001,CUST10009,REP1021,P1002,2026-06-27,8174,5,0.124,7160.42
TXN300002,CUST10434,REP1016,P1004,2026-06-16,27089,1,0.131,23540.34
TXN300003,CUST10233,REP1001,P1011,2026-08-22,16974,2,0.013,16753.34
TXN300004,CUST11192,REP1010,P1002,2026-04-01,16846,5,0.024,16441.7
TXN300005,CUST10190,REP1021,P1012,2026-07-31,3560,1,0.132,3090.08
TXN300006,CUST10184,REP1010,P1004,2026-06-30,13335,2,0.106,11921.49
TXN300007,CUST10372,REP1006,P1004,2026-06-30,14372,3,0.167,11971.88
TXN300008,CUST10870,REP1011,P1001,2026-04-17,29380,5,0.041,28175.42
TXN300009,CUST10747,REP1004,P1001,2026-05-12,26931,2,0.024,26284.66
TXN300010,CUST10360,REP1029,P1011,2026-07-19,20411,2,0.072,18941.41
TXN300011,CUST10875,REP1007,P1002,2026-06-21,26939,4,0.127,23517.75
TXN300012,CUST10882,REP1024,P1002,2026-05-27,4296,1,0.097,3879.29
TXN300013,CUST10453,REP1009,P1004,2026-05-22,26384,2,0.02,25856.32
TXN300014,CUST10779,REP1019,P1009,2026-02-25,10484,2,0.014,10337.22
TXN300015,CUST10585,REP1030,P1005,2026-03-22,25923,3,0.136,22397.47
TXN300016,CUST10863,REP1025,P1012,2026-09-05,7658,3,0.059,7206.18
TXN300017,CUST10767,REP1004,P1007,2026-07-18,4067,2,0.134,3522.02
TXN300018,CUST10421,REP1004,P1012,2026-05-31,20867,2,0.059,19635.85
TXN300019,CUST10759,REP1023,P1006,2026-03-01,7478,5,0.063,7006.89
TXN300020,CUST10751,REP1018,P1008,2026-07-15,8418,5,0.042,8064.44
TXN300021,CUST10804,REP1016,P1010,2026-04-10,7238,5,0.197,5812.11
TXN300022,CUST10412,REP1007,P1012,2026-05-10,3577,4,0.003,3566.27
TXN300023,CUST10578,REP1028,P1007,2026-01-23,29754,3,0.025,29010.15
TXN300024,CUST10661,REP1013,P1002,2026-04-11,8843,2,0.167,7366.22
TXN300025,CUST10809,REP1025,P1008,2026-07-11,26939,1,0.028,26184.71
TXN300026,CUST10945,REP1008,P1008,2026-08-09,10536,3,0.056,9945.98
TXN300027,CUST10130,REP1013,P1004,2026-08-21,11569,3,0.053,10955.84
TXN300028,CUST11094,REP1010,P1006,2026-05-23,5842,4,0.139,5029.96
TXN300029,CUST11155,REP1018,P1012,2026-06-21,4600,1,0.082,4222.8
TXN300030,CUST10289,REP1021,P1012,2026-04-24,18137,5,0.168,15089.98
TXN300031,CUST10786,REP1030,P1012,2026-06-13,1431,1,0.149,1217.78
TXN300032,CUST10296,REP1014,P1011,2026-06-03,2044,2,0.106,1827.34
TXN300033,CUST10107,REP1020,P1011,2026-02-15,21957,2,0.05,20859.15
TXN300034,CUST10576,REP1002,P1006,2026-08-27,18500,5,0.158,15577.0
TXN300035,CUST10019,REP1022,P1002,2026-06-21,18852,4,0.173,15590.6
TXN300036,CUST10756,REP1019,P1006,2026-06-10,14275,1,0.167,11891.08
TXN300037,CUST10642,REP1018,P1002,2026-06-12,8716,5,0.01,8628.84
TXN300038,CUST10992,REP1021,P1012,2026-06-08,14392,4,0.14,12377.12
TXN300039,CUST10924,REP1026,P1008,2026-07-01,15970,1,0.141,13718.23
TXN300040,CUST10418,REP1030,P1010,2026-07-20,22272,4,0.189,18062.59
TXN300041,CUST10212,REP1013,P1002,2026-04-27,27785,1,0.053,26312.4
TXN300042,CUST10152,REP1028,P1010,2026-05-17,10665,3,0.157,8990.59
TXN300043,CUST11071,REP1005,P1005,2026-06-29,4331,1,0.138,3733.32
TXN300044,CUST10384,REP1024,P1003,2026-06-02,28492,1,0.176,23477.41
TXN300045,CUST10960,REP1004,P1008,2026-05-19,21083,3,0.139,18152.46
TXN300046,CUST10483,REP1027,P1004,2026-04-14,15348,4,0.17,12738.84
TXN300047,CUST10458,REP1016,P1012,2026-05-13,18783,3,0.072,17430.62
TXN300048,CUST10741,REP1012,P1008,2026-05-21,11371,2,0.032,11007.13
TXN300049,CUST10998,REP1004,P1010,2026-03-18,18320,3,0.073,16982.64
TXN300050,CUST10422,REP1004,P1007,2026-08-15,26548,1,0.163,22220.68
TXN300051,CUST11001,REP1009,P1005,2026-03-18,5063,1,0.026,4931.36
TXN300052,CUST10261,REP1005,P1009,2026-09-17,6225,1,0.128,5428.2
TXN300053,CUST10047,REP1017,P1011,2026-09-10,7468,1,0.198,5989.34
TXN300054,CUST10613,REP1015,P1007,2026-05-10,16210,4,0.179,13308.41
TXN300055,CUST10218,REP1009,P1003,2026-07-15,13355,4,0.134,11565.43
TXN300056,CUST10852,REP1019,P1010,2026-06-25,19806,1,0.159,16656.85
TXN300057,CUST10914,REP1030,P1002,2026-03-31,2521,3,0.023,2463.02
TXN300058,CUST10378,REP1018,P1004,2026-07-28,3917,3,0.1,3525.3
TXN300059,CUST11174,REP1022,P1007,2026-06-18,4430,1,0.106,3960.42
TXN300060,CUST10014,REP1009,P1004,2026-06-24,26994,5,0.157,22755.94
TXN300061,CUST11177,REP1027,P1012,2026-04-09,5530,5,0.057,5214.79
TXN300062,CUST10826,REP1009,P1002,2026-02-02,28528,4,0.021,27928.91
TXN300063,CUST11074,REP1015,P1007,2026-08-06,14967,5,0.14,12871.62
TXN300064,CUST10337,REP1005,P1007,2026-06-21,29889,3,0.099,26929.99
TXN300065,CUST10035,REP1017,P1012,2026-05-11,6312,5,0.168,5251.58
TXN300066,CUST10487,REP1029,P1012,2026-05-16,4170,3,0.096,3769.68
TXN300067,CUST10729,REP1009,P1002,2026-06-22,10469,1,0.169,8699.74
TXN300068,CUST10211,REP1003,P1011,2026-05-07,23121,1,0.102,20762.66
TXN300069,CUST10411,REP1014,P1005,2026-06-28,26489,5,0.157,22330.23
TXN300070,CUST10240,REP1027,P1007,2026-08-25,26246,3,0.144,22466.58
TXN300071,CUST10753,REP1024,P1012,2026-05-18,4680,4,0.053,4431.96
TXN300072,CUST10879,REP1002,P1009,2026-07-05,13345,1,0.062,12517.61
TXN300073,CUST10419,REP1026,P1012,2026-05-07,20518,3,0.18,16824.76
TXN300074,CUST10471,REP1027,P1006,2026-05-19,13760,1,0.046,13127.04
TXN300075,CUST10898,REP1005,P1009,2026-05-19,24141,2,0.14,20761.26
TXN300076,CUST11075,REP1029,P1007,2026-07-22,16060,1,0.029,15594.26
TXN300077,CUST10446,REP1016,P1007,2026-04-18,18953,2,0.151,16091.1
TXN300078,CUST10296,REP1007,P1009,2026-06-28,16687,4,0.045,15936.08
TXN300079,CUST10361,REP1016,P1011,2026-04-26,25672,1,0.119,22617.03
TXN300080,CUST10758,REP1017,P1011,2026-09-06,7242,1,0.113,6423.65
TXN300081,CUST11085,REP1006,P1007,2026-07-18,20505,4,0.041,19664.29
TXN300082,CUST10679,REP1008,P1011,2026-08-03,19076,1,0.098,17206.55
TXN300083,CUST10119,REP1007,P1005,2026-07-20,8421,3,0.176,6938.9
TXN300084,CUST10587,REP1017,P1006,2026-07-12,2761,5,0.136,2385.5
TXN300085,CUST10905,REP1008,P1004,2026-07-26,18756,4,0.199,15023.56
TXN300086,CUST10296,REP1005,P1004,2026-05-25,27643,1,0.157,23303.05
TXN300087,CUST10491,REP1020,P1005,2026-07-02,21945,1,0.129,19114.1
TXN300088,CUST11082,REP1022,P1002,2026-09-04,24355,4,0.113,21602.88
TXN300089,CUST10806,REP1015,P1003,2026-07-22,28568,2,0.187,23225.78
TXN300090,CUST10717,REP1010,P1007,2026-05-23,14254,3,0.105,12757.33
TXN300091,CUST10542,REP1010,P1009,2026-09-26,21133,3,0.081,19421.23
TXN300092,CUST10604,REP1013,P1007,2026-07-09,17023,3,0.167,14180.16
TXN300093,CUST10227,REP1008,P1003,2026-07-16,9317,3,0.188,7565.4
TXN300094,CUST10757,REP1030,P1003,2026-05-17,15934,1,0.096,14404.34
TXN300095,CUST11095,REP1018,P1004,2026-05-10,20367,1,0.027,19817.09
TXN300096,CUST10486,REP1018,P1005,2026-07-03,11131,1,0.122,9773.02
TXN300097,CUST10469,REP1005,P1008,2026-06-10,2847,2,0.148,2425.64
TXN300098,CUST10984,REP1024,P1003,2026-06-24,20967,5,0.075,19394.48
TXN300099,CUST10307,REP1027,P1001,2026-04-05,13298,5,0.15,11303.3
TXN300100,CUST10917,REP1010,P1008,2026-05-22,7297,3,0.106,6523.52
TXN300101,CUST10902,REP1030,P1012,2026-03-19,5386,1,0.06,5062.84
TXN300102,CUST10262,REP1020,P1010,2026-03-04,9840,1,0.126,8600.16
TXN300103,CUST10800,REP1022,P1002,2026-03-01,8691,5,0.078,8013.1
TXN300104,CUST10898,REP1027,P1002,2026-09-03,20113,2,0.157,16955.26
TXN300105,CUST10515,REP1011,P1012,2026-06-19,10946,5,0.001,10935.05
TXN300106,CUST10383,REP1030,P1009,2026-05-28,22883,3,0.164,19130.19
TXN300107,CUST10979,REP1003,P1005,2026-05-03,22369,5,0.061,21004.49
TXN300108,CUST10639,REP1010,P1005,2026-06-18,8099,1,0.192,6543.99
TXN300109,CUST10409,REP1008,P1011,2026-03-26,4904,5,0.152,4158.59
TXN300110,CUST10381,REP1003,P1001,2026-05-13,12868,3,0.048,12250.34
TXN300111,CUST10101,REP1018,P1005,2026-08-09,5046,3,0.196,4056.98
TXN300112,CUST10726,REP1009,P1010,2026-05-21,15527,3,0.1,13974.3
TXN300113,CUST10460,REP1016,P1003,2026-06-17,23755,2,0.105,21260.72
TXN300114,CUST10734,REP1007,P1005,2026-05-30,10424,4,0.182,8526.83
TXN300115,CUST10648,REP1008,P1011,2026-06-28,18529,4,0.184,15119.66
TXN300116,CUST10457,REP1029,P1010,2026-04-23,22895,5,0.139,19712.6
TXN300117,CUST10885,REP1019,P1010,2026-06-13,17951,5,0.196,14432.6
TXN300118,CUST10841,REP1024,P1006,2026-04-16,27225,3,0.066,25428.15
TXN300119,CUST10524,REP1022,P1002,2026-07-02,24179,4,0.046,23066.77
TXN300120,CUST10675,REP1027,P1005,2026-07-29,9064,5,0.006,9009.62
TXN300121,CUST10779,REP1012,P1011,2026-04-10,10660,1,0.069,9924.46
TXN300122,CUST10190,REP1012,P1006,2026-05-30,2823,3,0.121,2481.42
TXN300123,CUST10439,REP1025,P1011,2026-07-10,19362,4,0.061,18180.92
TXN300124,CUST10668,REP1002,P1007,2026-05-28,5895,3,0.116,5211.18
TXN300125,CUST11165,REP1026,P1002,2026-07-30,4838,1,0.01,4789.62
TXN300126,CUST10611,REP1004,P1002,2026-07-22,25223,4,0.071,23432.17
TXN300127,CUST10471,REP1025,P1004,2026-04-19,22247,3,0.15,18909.95
TXN300128,CUST10595,REP1017,P1003,2026-08-07,11713,4,0.021,11467.03
TXN300129,CUST10006,REP1027,P1009,2026-05-16,1416,1,0.143,1213.51
TXN300130,CUST10170,REP1005,P1007,2026-06-04,29402,1,0.153,24903.49
TXN300131,CUST10843,REP1024,P1007,2026-02-17,24894,4,0.114,22056.08
TXN300132,CUST10133,REP1006,P1005,2026-03-16,26387,5,0.177,21716.5
TXN300133,CUST10601,REP1015,P1012,2026-05-25,3492,4,0.191,2825.03
TXN300134,CUST10314,REP1005,P1008,2026-07-19,1507,5,0.007,1496.45
TXN300135,CUST10471,REP1006,P1006,2026-09-08,23842,5,0.136,20599.49
TXN300136,CUST10595,REP1025,P1003,2026-04-25,26646,2,0.047,25393.64
TXN300137,CUST10788,REP1008,P1006,2026-07-07,17258,1,0.082,15842.84
TXN300138,CUST10731,REP1017,P1007,2026-06-05,4374,3,0.125,3827.25
TXN300139,CUST10176,REP1012,P1005,2026-04-11,27400,4,0.142,23509.2
TXN300140,CUST10487,REP1010,P1007,2026-05-26,7700,4,0.168,6406.4
TXN300141,CUST10230,REP1029,P1012,2026-08-03,22924,3,0.141,19691.72
TXN300142,CUST10838,REP1018,P1005,2026-05-15,18480,5,0.155,15615.6
TXN300143,CUST10342,REP1010,P1012,2026-08-25,17582,5,0.12,15472.16
TXN300144,CUST10882,REP1030,P1011,2026-09-20,13497,3,0.023,13186.57
TXN300145,CUST10459,REP1021,P1001,2026-06-12,3899,3,0.004,3883.4
TXN300146,CUST10645,REP1023,P1006,2026-04-29,13682,1,0.106,12231.71
TXN300147,CUST10222,REP1021,P1001,2026-04-02,8996,4,0.143,7709.57
TXN300148,CUST11186,REP1016,P1012,2026-08-09,23183,4,0.022,22672.97
TXN300149,CUST11046,REP1011,P1008,2026-08-01,29787,5,0.086,27225.32
TXN300150,CUST10393,REP1004,P1007,2026-08-01,5945,1,0.051,5641.8
TXN300151,CUST10103,REP1028,P1011,2026-03-27,16061,1,0.113,14246.11
TXN300152,CUST10624,REP1021,P1005,2026-05-22,24160,4,0.078,22275.52
TXN300153,CUST10901,REP1019,P1004,2026-06-14,28934,3,0.04,27776.64
TXN300154,CUST10992,REP1003,P1009,2026-04-29,4490,3,0.001,4485.51
TXN300155,CUST10771,REP1015,P1005,2026-04-10,16558,3,0.064,15498.29
TXN300156,CUST10126,REP1014,P1010,2026-06-07,11693,4,0.103,10488.62
TXN300157,CUST10243,REP1011,P1011,2026-04-10,11157,4,0.186,9081.8
TXN300158,CUST10657,REP1002,P1003,2026-06-19,12419,1,0.045,11860.14
TXN300159,CUST11015,REP1001,P1003,2026-07-13,9014,4,0.102,8094.57
TXN300160,CUST10049,REP1007,P1003,2026-03-24,15759,3,0.113,13978.23
TXN300161,CUST10625,REP1026,P1005,2026-07-20,8803,3,0.13,7658.61
TXN300162,CUST10038,REP1009,P1004,2026-04-28,8487,4,0.066,7926.86
TXN300163,CUST10586,REP1001,P1007,2026-05-17,29258,4,0.02,28672.84
TXN300164,CUST10098,REP1001,P1012,2026-03-24,9415,2,0.184,7682.64
TXN300165,CUST10979,REP1023,P1006,2026-06-06,15256,1,0.191,12342.1
TXN300166,CUST10394,REP1006,P1003,2026-04-11,5044,1,0.088,4600.13
TXN300167,CUST10923,REP1027,P1002,2026-05-29,15649,5,0.116,13833.72
TXN300168,CUST10666,REP1008,P1006,2026-06-09,4440,2,0.006,4413.36
TXN300169,CUST11141,REP1001,P1003,2026-05-28,14280,2,0.009,14151.48
TXN300170,CUST10400,REP1027,P1010,2026-05-30,25556,5,0.015,25172.66
TXN300171,CUST11067,REP1024,P1012,2026-06-02,29698,2,0.148,25302.7
TXN300172,CUST10170,REP1023,P1010,2026-07-02,22392,3,0.045,21384.36
TXN300173,CUST10348,REP1014,P1004,2026-05-22,12039,2,0.037,11593.56
TXN300174,CUST10886,REP1011,P1011,2026-03-22,4734,4,0.002,4724.53
TXN300175,CUST10679,REP1016,P1001,2026-08-06,3822,3,0.005,3802.89
TXN300176,CUST10412,REP1028,P1004,2026-05-05,8434,3,0.081,7750.85
TXN300177,CUST10494,REP1026,P1011,2026-07-19,24936,3,0.108,22242.91
TXN300178,CUST10012,REP1015,P1008,2026-03-30,3125,5,0.116,2762.5
TXN300179,CUST10581,REP1011,P1012,2026-04-03,13884,3,0.092,12606.67
TXN300180,CUST10464,REP1020,P1005,2026-08-26,10842,3,0.092,9844.54
TXN300181,CUST10085,REP1026,P1005,2026-05-09,23524,5,0.151,19971.88
TXN300182,CUST10376,REP1012,P1006,2026-05-13,21142,1,0.058,19915.76
TXN300183,CUST10866,REP1006,P1009,2026-05-10,23375,5,0.048,22253.0
TXN300184,CUST10408,REP1014,P1001,2026-08-19,16120,1,0.171,13363.48
TXN300185,CUST10175,REP1006,P1003,2026-02-21,14207,2,0.138,12246.43
TXN300186,CUST10852,REP1012,P1009,2026-06-24,15991,1,0.095,14471.86
TXN300187,CUST10073,REP1025,P1011,2026-04-05,7105,3,0.055,6714.22
TXN300188,CUST10868,REP1028,P1005,2026-03-02,18586,5,0.027,18084.18
TXN300189,CUST10016,REP1019,P1007,2026-04-11,13589,2,0.007,13493.88
TXN300190,CUST10435,REP1004,P1007,2026-04-13,12009,4,0.17,9967.47
TXN300191,CUST10207,REP1011,P1003,2026-06-03,28131,2,0.119,24783.41
TXN300192,CUST10090,REP1016,P1006,2026-05-01,18497,4,0.009,18330.53
TXN300193,CUST10376,REP1006,P1009,2026-04-27,2235,5,0.032,2163.48
TXN300194,CUST11101,REP1004,P1007,2026-07-13,1799,4,0.056,1698.26
TXN300195,CUST10538,REP1010,P1002,2026-04-22,27786,2,0.053,26313.34
TXN300196,CUST10616,REP1006,P1009,2026-07-17,13436,5,0.11,11958.04
TXN300197,CUST10988,REP1023,P1011,2026-04-08,3423,1,0.08,3149.16
TXN300198,CUST10630,REP1006,P1010,2026-02-23,20884,5,0.176,17208.42
TXN300199,CUST11048,REP1014,P1006,2026-03-23,6238,5,0.144,5339.73
TXN300200,CUST10913,REP1012,P1012,2026-04-11,24355,4,0.182,19922.39
TXN300201,CUST10876,REP1024,P1006,2026-05-28,11349,4,0.173,9385.62
TXN300202,CUST11106,REP1009,P1010,2026-05-30,24915,2,0.184,20330.64
TXN300203,CUST10535,REP1004,P1005,2026-07-08,19970,3,0.196,16055.88
TXN300204,CUST10409,REP1002,P1012,2026-07-03,11255,1,0.062,10557.19
TXN300205,CUST11032,REP1005,P1004,2026-05-07,29439,2,0.042,28202.56
TXN300206,CUST10754,REP1018,P1009,2026-07-16,20649,3,0.033,19967.58
TXN300207,CUST10243,REP1009,P1004,2026-06-26,18818,2,0.126,16446.93
TXN300208,CUST10049,REP1026,P1004,2026-03-02,6280,4,0.136,5425.92
TXN300209,CUST10643,REP1030,P1012,2026-04-01,2276,5,0.018,2235.03
TXN300210,CUST10860,REP1025,P1007,2026-05-11,20825,3,0.164,17409.7
TXN300211,CUST10452,REP1013,P1004,2026-02-10,1018,2,0.157,858.17
TXN300212,CUST10384,REP1012,P1010,2026-05-28,17472,2,0.126,15270.53
TXN300213,CUST10016,REP1017,P1007,2026-04-23,2076,3,0.087,1895.39
TXN300214,CUST10422,REP1028,P1009,2026-07-06,13409,4,0.031,12993.32
TXN300215,CUST11030,REP1025,P1003,2026-03-09,20683,1,0.101,18594.02
TXN300216,CUST11013,REP1029,P1011,2026-03-13,24663,3,0.032,23873.78
TXN300217,CUST10915,REP1019,P1007,2026-04-03,11862,3,0.121,10426.7
TXN300218,CUST10048,REP1011,P1011,2026-07-09,26294,2,0.062,24663.77
TXN300219,CUST10562,REP1019,P1009,2026-03-13,5440,2,0.049,5173.44
TXN300220,CUST10125,REP1020,P1005,2026-05-14,3529,5,0.088,3218.45
TXN300221,CUST10908,REP1007,P1005,2026-05-14,9158,3,0.116,8095.67
TXN300222,CUST10706,REP1020,P1004,2026-04-08,24855,3,0.073,23040.59
TXN300223,CUST10786,REP1023,P1005,2026-06-15,7438,1,0.193,6002.47
TXN300224,CUST10588,REP1007,P1006,2026-04-08,1062,2,0.001,1060.94
TXN300225,CUST10619,REP1021,P1012,2026-04-18,17734,2,0.183,14488.68
TXN300226,CUST11033,REP1019,P1005,2026-06-29,21818,2,0.0,21818.0
TXN300227,CUST11135,REP1005,P1002,2026-04-10,21177,5,0.043,20266.39
TXN300228,CUST10786,REP1016,P1010,2026-03-31,15152,3,0.199,12136.75
TXN300229,CUST10210,REP1016,P1004,2026-07-20,20848,5,0.146,17804.19
TXN300230,CUST10567,REP1011,P1008,2026-04-16,8770,3,0.129,7638.67
TXN300231,CUST10207,REP1007,P1011,2026-06-07,19060,4,0.145,16296.3
TXN300232,CUST10950,REP1016,P1007,2026-05-28,19196,1,0.082,17621.93
TXN300233,CUST10747,REP1011,P1009,2026-04-22,29278,5,0.157,24681.35
TXN300234,CUST10727,REP1021,P1011,2026-07-21,19292,4,0.031,18693.95
TXN300235,CUST11110,REP1019,P1007,2026-06-27,17209,1,0.159,14472.77
TXN300236,CUST10871,REP1020,P1011,2026-06-18,3474,4,0.188,2820.89
TXN300237,CUST10535,REP1021,P1007,2026-08-29,27241,3,0.172,22555.55
TXN300238,CUST11042,REP1030,P1010,2026-05-23,26443,1,0.148,22529.44
TXN300239,CUST10075,REP1009,P1001,2026-09-09,16078,5,0.13,13987.86
TXN300240,CUST10507,REP1001,P1011,2026-06-22,7034,3,0.104,6302.46
TXN300241,CUST10388,REP1008,P1004,2026-07-10,3463,4,0.079,3189.42
TXN300242,CUST10458,REP1020,P1002,2026-06-20,5465,3,0.173,4519.55
TXN300243,CUST10703,REP1030,P1006,2026-08-04,17789,1,0.129,15494.22
TXN300244,CUST10623,REP1016,P1010,2026-05-29,29063,2,0.087,26534.52
TXN300245,CUST10006,REP1024,P1007,2026-09-03,19580,4,0.157,16505.94
TXN300246,CUST10269,REP1014,P1003,2026-06-06,28738,2,0.011,28421.88
TXN300247,CUST10113,REP1016,P1012,2026-07-05,22714,5,0.163,19011.62
TXN300248,CUST10864,REP1014,P1003,2026-04-18,16229,2,0.162,13599.9
TXN300249,CUST11122,REP1019,P1011,2026-03-31,3950,3,0.046,3768.3
TXN300250,CUST10647,REP1001,P1010,2026-03-06,24720,3,0.008,24522.24
TXN300251,CUST10114,REP1015,P1008,2026-07-14,13377,1,0.143,11464.09
TXN300252,CUST10502,REP1027,P1007,2026-03-10,27749,5,0.04,26639.04
TXN300253,CUST10720,REP1024,P1003,2026-02-05,2924,1,0.199,2342.12
TXN300254,CUST11024,REP1014,P1003,2026-01-29,25097,3,0.002,25046.81
TXN300255,CUST10136,REP1014,P1010,2026-08-27,4193,5,0.046,4000.12
TXN300256,CUST11170,REP1010,P1003,2026-07-14,9778,5,0.008,9699.78
TXN300257,CUST10022,REP1027,P1008,2026-05-07,9817,2,0.157,8275.73
TXN300258,CUST10965,REP1001,P1005,2026-01-27,22345,2,0.116,19752.98
TXN300259,CUST10497,REP1002,P1001,2026-03-23,3207,3,0.17,2661.81
TXN300260,CUST10519,REP1002,P1010,2026-03-06,6522,4,0.193,5263.25
TXN300261,CUST10272,REP1002,P1003,2026-07-08,8853,2,0.122,7772.93
TXN300262,CUST10577,REP1005,P1004,2026-04-26,24144,3,0.046,23033.38
TXN300263,CUST10196,REP1026,P1008,2026-05-08,19386,5,0.019,19017.67
TXN300264,CUST10540,REP1022,P1006,2026-07-24,23404,4,0.173,19355.11
TXN300265,CUST10191,REP1011,P1010,2026-02-21,10002,5,0.049,9511.9
TXN300266,CUST10160,REP1003,P1011,2026-02-26,13285,5,0.179,10906.98
TXN300267,CUST11035,REP1002,P1006,2026-03-17,22142,5,0.176,18245.01
TXN300268,CUST10346,REP1013,P1010,2026-03-04,5778,3,0.126,5049.97
TXN300269,CUST10320,REP1010,P1003,2026-01-25,7544,5,0.121,6631.18
TXN300270,CUST10333,REP1001,P1005,2026-06-26,10616,3,0.19,8598.96
TXN300271,CUST10200,REP1020,P1009,2026-04-18,17247,4,0.151,14642.7
TXN300272,CUST10848,REP1021,P1007,2026-05-30,7328,5,0.137,6324.06
TXN300273,CUST10260,REP1002,P1011,2026-04-07,14179,1,0.087,12945.43
TXN300274,CUST10858,REP1010,P1012,2026-06-12,9982,5,0.097,9013.75
TXN300275,CUST11057,REP1015,P1005,2026-06-03,19766,5,0.078,18224.25
TXN300276,CUST10259,REP1030,P1005,2026-05-13,9401,5,0.189,7624.21
TXN300277,CUST10310,REP1027,P1005,2026-06-15,29269,4,0.128,25522.57
TXN300278,CUST11103,REP1028,P1011,2026-09-01,9874,1,0.156,8333.66
TXN300279,CUST10547,REP1005,P1002,2026-07-02,12409,2,0.007,12322.14
TXN300280,CUST10417,REP1002,P1007,2026-06-23,11293,1,0.17,9373.19
TXN300281,CUST11026,REP1004,P1006,2026-06-04,26214,4,0.084,24012.02
TXN300282,CUST10578,REP1005,P1003,2026-06-26,28391,3,0.147,24217.52
TXN300283,CUST10174,REP1028,P1003,2026-01-17,12689,3,0.008,12587.49
TXN300284,CUST10393,REP1012,P1009,2026-05-26,29906,4,0.179,24552.83
TXN300285,CUST10125,REP1008,P1008,2026-03-18,27957,5,0.132,24266.68
