week,revenue,net_revenue,quantity,transactions,active_customers,active_products,active_sales_reps,avg_discount_pct,year,month,quarter,week_of_year,revenue_lag_1,revenue_lag_2,revenue_lag_4,quantity_lag_1,transactions_lag_1,active_customers_lag_1,active_products_lag_1,active_sales_reps_lag_1,avg_discount_pct_lag_1,revenue_rolling_4w,revenue_rolling_8w,revenue_growth_1w,revenue_growth_4w
2025-10-14,7260.71,6883.15,2.0,1.0,1.0,1.0,1.0,0.052,2025,10,4,42,,,,,,,,,,,,,
2025-10-21,45225.39,42409.96,9.0,3.0,3.0,3.0,3.0,0.065,2025,10,4,43,6883.15,,,2.0,1.0,1.0,1.0,1.0,0.052,6883.15,6883.15,,
2025-10-28,9020.92,8425.54,1.0,1.0,1.0,1.0,1.0,0.066,2025,10,4,44,42409.96,6883.15,,9.0,3.0,3.0,3.0,3.0,0.065,24646.555,24646.555,5.1614173743126335,
2025-11-04,222650.23,205205.34,32.0,8.0,8.0,7.0,6.0,0.058375,2025,11,4,45,8425.54,42409.96,,1.0,1.0,1.0,1.0,1.0,0.066,19239.55,19239.55,-0.8013311024108487,
2025-11-11,280475.38,253252.93,34.0,10.0,10.0,8.0,8.0,0.0639,2025,11,4,46,205205.34,8425.54,6883.15,32.0,8.0,8.0,7.0,6.0,0.058375,65730.9975,65730.9975,23.35515587131507,
2025-11-18,178379.44,170529.97,20.0,7.0,7.0,4.0,6.0,0.040857142857142856,2025,11,4,47,253252.93,205205.34,42409.96,34.0,10.0,10.0,8.0,8.0,0.0639,127323.4425,103235.38399999999,0.23414395551304845,35.7931731837894
2025-11-25,49700.97,48541.03,9.0,4.0,4.0,4.0,3.0,0.02975,2025,11,4,48,170529.97,253252.93,8425.54,20.0,7.0,7.0,4.0,6.0,0.040857142857142856,159353.445,114451.14833333333,-0.32664167004899014,3.0209887017106363
2025-12-02,232318.25,210403.27,21.0,5.0,5.0,5.0,4.0,0.0728,2025,12,4,49,48541.03,170529.97,205205.34,9.0,4.0,4.0,4.0,3.0,0.02975,169382.31749999998,105035.41714285713,-0.7153519114557987,4.761177325132869
2025-12-09,360398.76,339370.27999999997,35.0,10.0,10.0,8.0,8.0,0.0508,2025,12,4,50,210403.27,48541.03,253252.93,21.0,5.0,5.0,5.0,4.0,0.0728,170681.8,118206.39875,3.3345448170341667,0.0253303837024903
2025-12-16,302989.45,268942.71,39.0,9.0,9.0,5.0,8.0,0.07733333333333334,2025,12,4,51,339370.27999999997,210403.27,170529.97,35.0,10.0,10.0,8.0,8.0,0.0508,192211.1375,159767.28999999998,0.6129515477587397,0.3400448318603855
2025-12-23,578097.2100000001,524159.23,44.0,9.0,9.0,6.0,8.0,0.06744444444444445,2025,12,4,52,268942.71,339370.27999999997,48541.03,39.0,9.0,9.0,5.0,8.0,0.07733333333333334,216814.3225,188083.88375,-0.2075242711294576,0.5770993802438364
2025-12-30,492837.75,458083.11000000004,56.0,13.0,13.0,9.0,10.0,0.06507692307692307,2025,12,4,1,524159.23,268942.71,210403.27,44.0,9.0,9.0,6.0,8.0,0.06744444444444445,335718.8725,252550.595,0.9489624016951415,9.798271688919662
2026-01-06,361037.98,334715.93,49.0,10.0,10.0,8.0,9.0,0.0673,2026,1,1,2,458083.11000000004,524159.23,339370.27999999997,56.0,13.0,13.0,9.0,10.0,0.06507692307692307,397638.8325,284160.31625,-0.126061158934471,1.1771672560031985
2026-01-13,172693.78999999998,158876.31,18.0,5.0,5.0,4.0,5.0,0.0632,2026,1,1,3,334715.93,458083.11000000004,268942.71,49.0,10.0,10.0,8.0,9.0,0.0673,396475.245,294343.19125,-0.2693117849291584,-0.013714665880583232
2026-01-20,492584.18999999994,449248.85,46.0,7.0,7.0,6.0,6.0,0.08271428571428571,2026,1,1,4,158876.31,334715.93,524159.23,18.0,5.0,5.0,4.0,5.0,0.0632,368958.645,292886.48375,-0.5253398605796862,-0.4092559340983811
2026-01-27,181302.2,163839.48,15.0,4.0,4.0,4.0,3.0,0.07325,2026,1,1,5,449248.85,158876.31,458083.11000000004,46.0,7.0,7.0,6.0,6.0,0.08271428571428571,350231.05,342974.96125,1.8276641747281266,-0.14291531220388887
2026-02-03,136682.77999999997,130256.36999999998,14.0,4.0,4.0,4.0,3.0,0.03275,2026,2,1,6,163839.48,449248.85,334715.93,15.0,4.0,4.0,4.0,3.0,0.07325,276670.14249999996,337154.4875,-0.6353035071764791,-0.6423367803279192
2026-02-10,258079.11000000002,233868.61000000002,25.0,9.0,9.0,7.0,9.0,0.059777777777777784,2026,2,1,7,130256.36999999998,163839.48,158876.31,14.0,4.0,4.0,4.0,3.0,0.03275,225555.2525,311015.24875,-0.20497568717869485,-0.6108450231215468
2026-02-17,103313.67,98929.45999999999,18.0,7.0,7.0,4.0,6.0,0.037571428571428575,2026,2,1,8,233868.61000000002,130256.36999999998,449248.85,25.0,9.0,9.0,7.0,9.0,0.059777777777777784,244303.32749999998,306630.98625,0.7954485450500428,0.47201687904257095
2026-02-24,448045.04,410536.05,32.0,10.0,9.0,7.0,10.0,0.0465,2026,2,1,9,98929.45999999999,233868.61000000002,163839.48,18.0,7.0,7.0,4.0,6.0,0.037571428571428575,156723.47999999998,253477.26499999998,-0.5769870099283525,-0.7797891747524786
2026-03-03,453339.24,419324.49,47.0,9.0,9.0,7.0,8.0,0.0641111111111111,2026,3,1,10,410536.05,98929.45999999999,130256.36999999998,32.0,10.0,9.0,7.0,10.0,0.0465,218397.6225,247533.88249999998,3.149785614921986,1.5057211485290356
