week,revenue,net_revenue,cogs,gross_profit,quantity,transactions,gross_margin_pct,margin_lag_1,margin_lag_2,margin_lag_4,margin_rolling_4w,margin_rolling_8w,profit_lag_1,profit_lag_2,profit_lag_4,profit_rolling_4w,profit_rolling_8w,revenue_lag_1,revenue_lag_2,revenue_lag_4,revenue_rolling_4w,revenue_rolling_8w,year,month,quarter,week_of_year,profit_growth_1w,profit_growth_4w
2025-10-14,7260.71,6883.15,2340.0,4543.15,2.0,1.0,66.00393715086842,,,,,,,,,,,,,,,,2025,10,4,42,,
2025-10-21,45225.39,42409.96,17190.0,25219.96,9.0,3.0,59.467068584832425,66.00393715086842,,,66.00393715086842,66.00393715086842,4543.15,,,4543.15,4543.15,6883.15,,,6883.15,6883.15,2025,10,4,43,,
2025-10-28,9020.92,8425.54,4950.0,3475.54,1.0,1.0,41.25005637620852,59.467068584832425,66.00393715086842,,62.73550286785043,62.73550286785043,25219.96,4543.15,,14881.555,14881.555,42409.96,6883.15,,24646.555,24646.555,2025,10,4,44,4.551205661270265,
2025-11-04,222650.23,205205.34,85600.0,119605.34,32.0,8.0,58.28568593780259,41.25005637620852,59.467068584832425,,55.573687370636456,55.573687370636456,3475.54,25219.96,,11079.550000000001,11079.550000000001,8425.54,42409.96,,19239.55,19239.55,2025,11,4,45,-0.8621908995890557,
2025-11-11,280475.38,253252.93,97990.0,155262.93,34.0,10.0,61.30745654156894,58.28568593780259,41.25005637620852,66.00393715086842,56.25168701242799,56.25168701242799,119605.34,3475.54,4543.15,38210.9975,38210.9975,205205.34,8425.54,6883.15,65730.9975,65730.9975,2025,11,4,46,33.41345517531089,
2025-11-18,178379.44,170529.97,53380.0,117149.97,20.0,7.0,68.6975843600981,61.30745654156894,58.28568593780259,59.467068584832425,55.07756686010312,57.262840918256174,155262.93,119605.34,25219.96,75890.9425,61621.384,253252.93,205205.34,42409.96,127323.4425,103235.38399999999,2025,11,4,47,0.29812707359052704,33.175171411905836
2025-11-25,49700.97,48541.03,22980.0,25561.03,9.0,4.0,52.658606543783684,68.6975843600981,61.30745654156894,41.25005637620852,57.38519580391954,59.1686314918965,117149.97,155262.93,3475.54,98873.44499999999,70876.14833333333,170529.97,253252.93,8425.54,159353.445,114451.14833333333,2025,11,4,48,-0.24547366200032417,3.6451290961603426
2025-12-02,232318.25,210403.27,76484.0,133919.27,21.0,5.0,63.64885393653815,52.658606543783684,68.6975843600981,58.28568593780259,60.23733334581333,58.23862792788038,25561.03,117149.97,119605.34,104394.8175,64402.56,48541.03,170529.97,205205.34,169382.31749999998,105035.41714285713,2025,12,4,49,-0.7818093337966711,6.354549221128227
2025-12-09,360398.76,339370.27999999997,119584.0,219786.28,35.0,10.0,64.76297217304946,63.64885393653815,52.658606543783684,61.30745654156894,61.57812534549723,58.9149061789626,133919.27,25561.03,155262.93,107973.3,73092.14875,210403.27,48541.03,253252.93,170681.8,118206.39875,2025,12,4,50,4.239196933769883,0.11967634555447093
2025-12-16,302989.45,268942.71,80282.0,188660.71,39.0,9.0,70.14903285536164,64.76297217304946,63.64885393653815,68.6975843600981,62.442004253367344,58.75978555673524,219786.28,133919.27,117149.97,124104.13750000001,99997.54,339370.27999999997,210403.27,170529.97,192211.1375,159767.28999999998,2025,12,4,51,0.6411848720501538,0.41557472862324585
2025-12-23,578097.2100000001,524159.23,138816.0,385343.23,44.0,9.0,73.51644461168793,70.14903285536164,64.76297217304946,52.658606543783684,62.80486637718323,60.09503109055139,188660.71,219786.28,25561.03,141981.8225,120427.63375,268942.71,339370.27999999997,48541.03,216814.3225,188083.88375,2025,12,4,52,-0.1416174385407497,0.6104204721520627
2025-12-30,492837.75,458083.11000000004,151460.0,306623.11,56.0,13.0,66.9361308693525,73.51644461168793,70.14903285536164,63.64885393653815,68.0193258941593,64.12832961998632,385343.23,188660.71,133919.27,231927.3725,168161.09499999997,524159.23,268942.71,210403.27,335718.8725,252550.595,2025,12,4,1,1.0425197700146471,14.075418713565142
2026-01-06,361037.98,334715.93,102126.0,232589.93,49.0,10.0,69.48875424005065,66.9361308693525,73.51644461168793,64.76297217304946,68.84114512736288,65.20963523643005,306623.11,385343.23,219786.28,275103.33249999996,191538.31625,458083.11000000004,524159.23,339370.27999999997,397638.8325,284160.31625,2026,1,1,2,-0.20428572210805418,1.289611569716591
2026-01-13,172693.78999999998,158876.31,84390.0,74486.31,18.0,5.0,46.88320744609439,69.48875424005065,66.9361308693525,70.14903285536164,70.02259064411318,66.23229744874027,232589.93,306623.11,188660.71,278304.245,201204.19124999997,334715.93,458083.11000000004,268942.71,396475.245,294343.19125,2026,1,1,3,-0.24144683680235324,0.05825500117659743
2026-01-20,492584.18999999994,449248.85,89796.0,359452.85,46.0,7.0,80.01196886758865,46.88320744609439,69.48875424005065,73.51644461168793,64.20613429179636,63.5055003344898,74486.31,232589.93,385343.23,249760.64500000002,195871.23374999998,158876.31,334715.93,524159.23,368958.645,292886.48375,2026,1,1,4,-0.6797526444932505,-0.6051837714381547
2026-01-27,181302.2,163839.48,36670.0,127169.48000000001,15.0,4.0,77.61833716757401,80.01196886758865,46.88320744609439,66.9361308693525,65.83001535577155,66.92467062496543,359452.85,74486.31,306623.11,243288.05,237607.71125,449248.85,158876.31,458083.11000000004,350231.05,342974.96125,2026,1,1,5,3.825757243176632,-0.0671878418624352
2026-02-03,136682.77999999997,130256.36999999998,53652.0,76604.37,14.0,4.0,58.810459711106645,77.61833716757401,80.01196886758865,69.48875424005065,68.50056693032693,68.67085602884491,127169.48000000001,359452.85,232589.93,198424.6425,236763.9875,163839.48,449248.85,334715.93,276670.14249999996,337154.4875,2026,2,1,6,-0.6462137384638903,-0.585258006156157
2026-02-10,258079.11000000002,233868.61000000002,61334.0,172534.61,25.0,9.0,73.77416319359831,58.810459711106645,77.61833716757401,46.88320744609439,65.83099329809093,67.92679197110205,76604.37,127169.48000000001,74486.31,159428.2525,218866.24875,130256.36999999998,163839.48,158876.31,225555.2525,311015.24875,2026,2,1,7,-0.397619853442823,-0.6706462313308232
2026-02-17,103313.67,98929.45999999999,37520.0,61409.46,18.0,7.0,62.07398685891948,73.77416319359831,58.810459711106645,80.01196886758865,72.5537322349669,68.37993326338164,172534.61,76604.37,359452.85,183940.32749999998,216850.48625,233868.61000000002,130256.36999999998,449248.85,244303.32749999998,306630.98625,2026,2,1,8,1.2522815604383926,1.3163264497865446
2026-02-24,448045.04,410536.05,179004.0,231532.05,32.0,10.0,56.39749542092588,62.07398685891948,73.77416319359831,77.61833716757401,68.06923673279961,66.94962604428558,61409.46,172534.61,127169.48000000001,109429.48,176358.765,98929.45999999999,233868.61000000002,163839.48,156723.47999999998,253477.26499999998,2026,2,1,9,-0.6440745424932424,-0.8291585113318757
2026-03-03,453339.24,419324.49,106400.0,312924.49,47.0,9.0,74.62585598088964,56.39749542092588,62.07398685891948,58.810459711106645,62.76402629613758,65.63229661323226,231532.05,61409.46,76604.37,135520.1225,166972.3825,410536.05,98929.45999999999,130256.36999999998,218397.6225,247533.88249999998,2026,3,1,10,2.7702993968681695,0.8206573621280826
2026-03-10,177222.99,164382.23,63800.0,100582.23000000001,18.0,4.0,61.1880189239433,74.62585598088964,56.39749542092588,73.77416319359831,66.71787536358333,66.27443433083712,312924.49,231532.05,172534.61,194600.15249999997,177014.2025,419324.49,410536.05,233868.61000000002,290664.65249999997,258109.95249999998,2026,3,1,11,0.35153854509559257,3.0849430652585488
2026-03-17,209600.63,192981.3,48570.0,144411.3,29.0,7.0,74.83175831026114,61.1880189239433,74.62585598088964,62.07398685891948,63.571339296169576,68.06253576556824,100582.23000000001,312924.49,61409.46,176612.0575,180276.1925,164382.23,419324.49,98929.45999999999,273293.0575,258798.1925,2026,3,1,12,-0.6785734794997988,-0.417031574128808
2026-03-24,251001.08,228636.58,66552.0,162084.58000000002,29.0,6.0,70.89179692943274,74.83175831026114,61.1880189239433,56.39749542092588,66.76078215900499,67.4150094459023,144411.3,100582.23000000001,231532.05,197362.5175,153395.99874999997,192981.3,164382.23,410536.05,296806.0175,226764.74875,2026,3,1,13,0.435753611746329,1.3516132530720837
2026-03-31,71088.12,68188.95999999999,26950.0,41238.96,12.0,6.0,60.47747318627532,70.89179692943274,74.83175831026114,74.62585598088964,70.3843575361317,66.57419191613464,162084.58000000002,144411.3,312924.49,180000.65000000002,157760.38624999998,228636.58,192981.3,419324.49,251331.15,234864.38624999998,2026,3,1,14,0.12238155878383505,-0.2999475450590965
2026-04-07,62113.479999999996,59227.299999999996,27270.0,31957.3,10.0,4.0,53.957043457999944,60.47747318627532,70.89179692943274,61.1880189239433,66.84726183747813,66.78256860053072,41238.96,162084.58000000002,100582.23000000001,112079.2675,153339.71,68188.95999999999,228636.58,164382.23,163547.2675,227105.96,2026,4,2,15,-0.7455713553997549,-0.868214341421472
2026-04-14,135499.74,125638.47,41620.0,84018.47,20.0,7.0,66.87320372494189,53.957043457999944,60.47747318627532,74.83175831026114,65.03951797099228,64.30542863358093,31957.3,41238.96,144411.3,94923.03499999999,135767.54624999998,59227.299999999996,68188.95999999999,192981.3,137258.535,205275.79624999998,2026,4,2,16,-0.2250701763575027,-0.6822768793255032
2026-04-21,377433.11,335154.21,138916.0,196238.21,31.0,8.0,58.551617179447035,66.87320372494189,53.957043457999944,70.89179692943274,63.04987932466247,64.90533074183372,84018.47,31957.3,162084.58000000002,79824.8275,138593.6725,125638.47,59227.299999999996,228636.58,120422.82749999998,208614.4225,2026,4,2,17,1.6290853732949908,-0.4182001685463672
2026-04-28,528692.8099999999,473154.58999999997,119280.0,353874.58999999997,40.0,8.0,74.7904802107066,58.551617179447035,66.87320372494189,60.47747318627532,59.96483438716604,65.17459596164888,196238.21,84018.47,41238.96,88363.235,134181.9425,335154.21,125638.47,68188.95999999999,147052.235,199191.6925,2026,4,2,18,1.335655600488797,0.21071486257360172
2026-05-05,345698.38,314270.11,100610.0,213660.11,37.0,7.0,67.98613778446827,74.7904802107066,58.551617179447035,53.957043457999944,63.54308614327387,65.19517399037599,353874.58999999997,196238.21,31957.3,166522.1425,139300.705,473154.58999999997,335154.21,59227.299999999996,248293.64250000002,205920.455,2026,5,2,19,0.8032909594925473,7.581074546981785
2026-05-12,278691.27999999997,264120.77,96972.0,167148.77,39.0,9.0,63.284977550232036,67.98613778446827,74.7904802107066,66.87320372494189,67.05035972489095,66.04493884794162,213660.11,353874.58999999997,84018.47,211947.845,153435.44,314270.11,473154.58999999997,125638.47,312054.345,224656.44,2026,5,2,20,-0.39622647107835574,5.6857998016102735
2026-05-19,326498.39999999997,289807.97000000003,70840.0,218967.97,27.0,5.0,75.55622780146453,63.284977550232036,67.98613778446827,58.551617179447035,66.15330318121349,64.60159125293798,167148.77,213660.11,196238.21,232730.41999999998,156277.62375,264120.77,314270.11,335154.21,346674.92,233548.87375,2026,5,2,21,-0.2176884585522304,0.9894288720087379
2026-05-26,634237.26,575916.32,150234.0,425682.32,57.0,12.0,73.9139186053974,75.55622780146453,63.284977550232036,74.7904802107066,70.40445583671786,65.18464511194196,218967.97,167148.77,353874.58999999997,238412.86,163388.0475,289807.97000000003,264120.77,473154.58999999997,335338.36,241195.29750000002,2026,5,2,22,0.3100184344760659,0.11582739161756517
2026-06-02,466435.42,429467.64,112514.0,316953.64,36.0,10.0,73.80151854980272,73.9139186053974,75.55622780146453,67.98613778446827,70.18531543539055,66.86420078933222,425682.32,218967.97,213660.11,256364.79249999998,211443.46749999997,575916.32,289807.97000000003,314270.11,361028.7925,304661.21749999997,2026,6,2,23,0.9440392126757169,0.20291858197560897
