lead_id,customer_id,sales_rep_id,lead_source,lead_created_date,lead_score,lead_status
LEAD100001,CUST10894,REP1005,Event,2025-11-10,57,New
LEAD100002,CUST11172,REP1009,Referral,2025-12-21,62,Nurturing
LEAD100003,CUST10829,REP1018,Website,2025-10-08,92,Qualified
LEAD100004,CUST10040,REP1027,Referral,2026-04-12,81,Qualified
LEAD100005,CUST10563,REP1005,Email,2026-05-04,54,New
LEAD100006,CUST10879,REP1021,Website,2026-02-16,47,New
LEAD100007,CUST10477,REP1023,Email,2026-06-29,77,Nurturing
LEAD100008,CUST10928,REP1027,Referral,2026-03-25,42,New
LEAD100009,CUST10849,REP1023,Email,2026-09-16,91,Qualified
LEAD100010,CUST10081,REP1005,Email,2026-07-06,83,Qualified
LEAD100011,CUST10670,REP1015,Partner,2025-10-28,75,Nurturing
LEAD100012,CUST10207,REP1029,Email,2026-01-09,40,New
LEAD100013,CUST10584,REP1028,Event,2026-07-03,70,Nurturing
LEAD100014,CUST10462,REP1019,Referral,2026-04-15,86,Qualified
LEAD100015,CUST10969,REP1029,Partner,2026-07-02,25,Low Priority
LEAD100016,CUST11042,REP1021,Email,2026-01-31,34,Low Priority
LEAD100017,CUST10554,REP1002,Event,2025-10-14,61,Nurturing
LEAD100018,CUST10645,REP1028,Partner,2026-07-14,49,New
LEAD100019,CUST10752,REP1006,Referral,2026-07-14,77,Nurturing
LEAD100020,CUST10787,REP1012,Event,2026-05-22,52,New
LEAD100021,CUST10763,REP1008,Event,2026-02-25,100,Qualified
LEAD100022,CUST10940,REP1022,Partner,2025-10-04,44,New
LEAD100023,CUST11179,REP1001,Website,2026-06-23,49,New
LEAD100024,CUST10994,REP1020,Referral,2026-05-29,20,Low Priority
LEAD100025,CUST10162,REP1026,Partner,2026-06-01,40,New
LEAD100026,CUST10572,REP1024,Email,2025-12-02,39,Low Priority
LEAD100027,CUST10554,REP1010,Email,2026-06-24,81,Qualified
LEAD100028,CUST10611,REP1027,Event,2026-06-22,47,New
LEAD100029,CUST10635,REP1011,Website,2026-08-09,36,Low Priority
LEAD100030,CUST10862,REP1021,Partner,2026-04-26,45,New
LEAD100031,CUST10506,REP1016,Email,2026-06-25,65,Nurturing
LEAD100032,CUST10317,REP1003,Event,2026-02-24,83,Qualified
LEAD100033,CUST10550,REP1001,Website,2026-06-12,99,Qualified
LEAD100034,CUST11026,REP1006,Event,2026-06-11,23,Low Priority
LEAD100035,CUST10374,REP1029,Website,2026-07-12,88,Qualified
LEAD100036,CUST10025,REP1029,Website,2026-08-09,51,New
LEAD100037,CUST11172,REP1013,Event,2025-10-02,85,Qualified
LEAD100038,CUST10235,REP1030,Email,2026-07-12,23,Low Priority
LEAD100039,CUST10724,REP1002,Event,2026-07-17,70,Nurturing
LEAD100040,CUST10961,REP1030,Email,2026-04-18,95,Qualified
LEAD100041,CUST10330,REP1007,Email,2026-04-08,23,Low Priority
LEAD100042,CUST10409,REP1002,Partner,2026-06-21,84,Qualified
LEAD100043,CUST10337,REP1023,Partner,2026-03-16,29,Low Priority
LEAD100044,CUST10180,REP1012,Partner,2026-03-01,99,Qualified
LEAD100045,CUST10184,REP1009,Referral,2026-07-21,80,Qualified
LEAD100046,CUST10225,REP1023,Event,2026-07-15,93,Qualified
LEAD100047,CUST10550,REP1010,Referral,2025-12-15,92,Qualified
LEAD100048,CUST10637,REP1023,Email,2026-07-30,45,New
LEAD100049,CUST10020,REP1006,Email,2026-01-28,53,New
LEAD100050,CUST11016,REP1003,Partner,2025-11-20,76,Nurturing
LEAD100051,CUST10812,REP1010,Email,2026-08-17,34,Low Priority
LEAD100052,CUST10085,REP1019,Website,2025-12-26,44,New
LEAD100053,CUST11012,REP1007,Referral,2025-12-14,28,Low Priority
LEAD100054,CUST10037,REP1005,Partner,2026-01-07,91,Qualified
LEAD100055,CUST10673,REP1023,Referral,2026-03-29,40,New
LEAD100056,CUST10559,REP1015,Event,2025-11-30,53,New
LEAD100057,CUST10603,REP1013,Event,2025-11-28,56,New
LEAD100058,CUST11148,REP1008,Email,2026-02-21,50,New
LEAD100059,CUST11113,REP1001,Referral,2025-12-19,83,Qualified
LEAD100060,CUST10335,REP1002,Website,2025-12-10,94,Qualified
LEAD100061,CUST10696,REP1021,Email,2026-08-29,66,Nurturing
LEAD100062,CUST11152,REP1003,Event,2026-05-06,87,Qualified
LEAD100063,CUST10875,REP1008,Partner,2025-10-06,28,Low Priority
LEAD100064,CUST11066,REP1028,Event,2025-11-07,98,Qualified
LEAD100065,CUST10522,REP1011,Event,2026-07-25,29,Low Priority
LEAD100066,CUST10340,REP1023,Partner,2026-01-07,25,Low Priority
LEAD100067,CUST10613,REP1011,Referral,2025-11-25,21,Low Priority
LEAD100068,CUST10981,REP1028,Website,2026-05-31,39,Low Priority
LEAD100069,CUST11115,REP1025,Email,2026-08-02,87,Qualified
LEAD100070,CUST10824,REP1015,Partner,2026-02-23,44,New
LEAD100071,CUST10848,REP1021,Website,2026-06-29,84,Qualified
LEAD100072,CUST10615,REP1013,Website,2026-03-03,54,New
LEAD100073,CUST10384,REP1029,Event,2025-11-09,28,Low Priority
LEAD100074,CUST10508,REP1011,Referral,2026-07-19,58,New
LEAD100075,CUST10598,REP1026,Referral,2026-09-01,38,Low Priority
LEAD100076,CUST10979,REP1019,Email,2026-09-25,43,New
LEAD100077,CUST10667,REP1020,Referral,2025-11-06,61,Nurturing
LEAD100078,CUST10952,REP1011,Event,2026-04-25,84,Qualified
LEAD100079,CUST10033,REP1025,Email,2026-05-16,67,Nurturing
LEAD100080,CUST10909,REP1023,Referral,2025-10-29,38,Low Priority
LEAD100081,CUST10609,REP1025,Referral,2026-09-13,78,Nurturing
LEAD100082,CUST11198,REP1025,Event,2025-11-07,76,Nurturing
LEAD100083,CUST10567,REP1005,Partner,2026-01-07,39,Low Priority
LEAD100084,CUST10575,REP1027,Event,2026-09-19,88,Qualified
LEAD100085,CUST10153,REP1026,Referral,2026-04-21,88,Qualified
LEAD100086,CUST10969,REP1008,Website,2026-06-05,68,Nurturing
LEAD100087,CUST10842,REP1030,Event,2026-03-30,43,New
LEAD100088,CUST11035,REP1016,Referral,2026-07-02,48,New
LEAD100089,CUST10112,REP1010,Event,2025-10-30,55,New
LEAD100090,CUST10254,REP1007,Email,2026-06-04,35,Low Priority
LEAD100091,CUST11053,REP1011,Referral,2025-10-25,44,New
LEAD100092,CUST10051,REP1002,Email,2025-12-05,30,Low Priority
LEAD100093,CUST10610,REP1021,Website,2026-04-03,32,Low Priority
LEAD100094,CUST10486,REP1022,Referral,2026-03-13,80,Qualified
LEAD100095,CUST11128,REP1021,Referral,2025-11-25,30,Low Priority
LEAD100096,CUST11029,REP1017,Email,2026-07-19,57,New
LEAD100097,CUST11077,REP1011,Partner,2026-01-19,54,New
LEAD100098,CUST10347,REP1022,Email,2026-08-13,23,Low Priority
LEAD100099,CUST10706,REP1027,Partner,2025-10-06,87,Qualified
LEAD100100,CUST10841,REP1003,Email,2025-12-26,99,Qualified
LEAD100101,CUST11161,REP1012,Website,2026-01-17,71,Nurturing
LEAD100102,CUST10009,REP1030,Email,2026-05-06,74,Nurturing
LEAD100103,CUST11173,REP1026,Website,2026-02-24,38,Low Priority
LEAD100104,CUST10427,REP1030,Website,2025-11-27,88,Qualified
LEAD100105,CUST10154,REP1006,Email,2026-04-27,83,Qualified
LEAD100106,CUST10739,REP1014,Website,2026-09-15,55,New
LEAD100107,CUST10938,REP1004,Email,2025-11-18,77,Nurturing
LEAD100108,CUST10156,REP1026,Website,2026-01-01,97,Qualified
LEAD100109,CUST10049,REP1016,Website,2026-03-24,68,Nurturing
LEAD100110,CUST11076,REP1008,Event,2026-06-23,36,Low Priority
LEAD100111,CUST11121,REP1003,Website,2025-11-19,46,New
LEAD100112,CUST10188,REP1023,Event,2025-12-24,34,Low Priority
LEAD100113,CUST11085,REP1025,Referral,2025-12-25,46,New
LEAD100114,CUST11092,REP1027,Email,2026-05-13,92,Qualified
LEAD100115,CUST11197,REP1030,Event,2025-10-31,35,Low Priority
LEAD100116,CUST10260,REP1025,Website,2026-05-29,92,Qualified
LEAD100117,CUST10695,REP1024,Referral,2026-03-05,43,New
LEAD100118,CUST11194,REP1025,Partner,2026-01-28,60,Nurturing
LEAD100119,CUST11084,REP1030,Event,2026-08-11,62,Nurturing
LEAD100120,CUST10726,REP1014,Website,2026-07-26,30,Low Priority
LEAD100121,CUST10237,REP1023,Website,2026-07-21,34,Low Priority
LEAD100122,CUST10102,REP1025,Referral,2026-08-20,44,New
LEAD100123,CUST10312,REP1004,Referral,2025-12-25,24,Low Priority
LEAD100124,CUST10079,REP1021,Referral,2026-08-09,81,Qualified
LEAD100125,CUST10235,REP1011,Website,2025-12-04,64,Nurturing
LEAD100126,CUST10090,REP1004,Event,2026-01-29,88,Qualified
LEAD100127,CUST10915,REP1006,Email,2026-04-21,89,Qualified
LEAD100128,CUST10708,REP1004,Website,2026-06-29,48,New
LEAD100129,CUST10622,REP1027,Partner,2026-04-29,86,Qualified
LEAD100130,CUST10972,REP1024,Email,2026-04-23,24,Low Priority
LEAD100131,CUST10493,REP1004,Email,2026-02-15,54,New
LEAD100132,CUST10484,REP1019,Event,2026-05-05,73,Nurturing
LEAD100133,CUST10249,REP1020,Email,2026-03-23,57,New
LEAD100134,CUST10534,REP1016,Email,2026-03-24,79,Nurturing
LEAD100135,CUST10210,REP1019,Website,2026-05-02,89,Qualified
LEAD100136,CUST10708,REP1028,Website,2026-05-08,54,New
LEAD100137,CUST11197,REP1016,Email,2026-01-29,42,New
LEAD100138,CUST10640,REP1020,Event,2025-11-19,67,Nurturing
LEAD100139,CUST10359,REP1018,Referral,2026-01-18,90,Qualified
LEAD100140,CUST10826,REP1012,Email,2026-02-27,99,Qualified
LEAD100141,CUST10985,REP1027,Referral,2025-11-28,86,Qualified
LEAD100142,CUST10567,REP1013,Partner,2025-12-04,39,Low Priority
LEAD100143,CUST10301,REP1024,Email,2026-09-13,36,Low Priority
LEAD100144,CUST10857,REP1019,Email,2026-01-11,66,Nurturing
LEAD100145,CUST10225,REP1021,Website,2026-06-27,52,New
LEAD100146,CUST11197,REP1023,Event,2025-11-16,69,Nurturing
