opportunity_id,customer_id,sales_rep_id,product_id,created_date,deal_size,stage,close_date
OPP200001,CUST10599,REP1022,P1002,2026-06-20,27605.18,Qualified,2026-08-07
OPP200002,CUST11030,REP1011,P1010,2026-01-02,50364.7,Lost,2026-02-15
OPP200003,CUST10985,REP1020,P1006,2026-04-16,23379.15,Qualified,2026-05-12
OPP200004,CUST10453,REP1022,P1001,2026-04-08,21352.49,Lost,2026-05-21
OPP200005,CUST10341,REP1024,P1005,2026-02-12,147791.69,Proposal,2026-05-13
OPP200006,CUST11158,REP1029,P1003,2026-05-10,17211.35,Prospecting,2026-06-22
OPP200007,CUST10679,REP1026,P1012,2025-11-05,27681.46,Proposal,2025-12-25
OPP200008,CUST10142,REP1014,P1011,2026-05-30,74921.01,Negotiation,2026-06-27
OPP200009,CUST10270,REP1007,P1002,2026-01-20,4859.98,Won,2026-02-13
OPP200010,CUST11004,REP1003,P1007,2025-10-13,6303.08,Proposal,2025-11-20
OPP200011,CUST11078,REP1018,P1001,2026-06-30,29184.56,Prospecting,2026-07-23
OPP200012,CUST11091,REP1020,P1006,2026-05-01,39171.07,Lost,2026-07-16
OPP200013,CUST10009,REP1021,P1002,2026-05-13,5659.04,Proposal,2026-06-22
OPP200014,CUST10988,REP1001,P1009,2025-11-10,21128.49,Qualified,2026-01-06
OPP200015,CUST10135,REP1022,P1001,2026-04-25,127578.61,Won,2026-06-11
OPP200016,CUST10971,REP1024,P1011,2026-04-11,10278.46,Prospecting,2026-05-06
OPP200017,CUST11058,REP1022,P1003,2026-06-06,18850.53,Prospecting,2026-07-08
OPP200018,CUST10434,REP1016,P1004,2026-01-11,115211.02,Proposal,2026-02-17
OPP200019,CUST10233,REP1001,P1011,2026-06-13,31167.16,Negotiation,2026-07-18
OPP200020,CUST10857,REP1015,P1011,2026-04-13,209263.88,Proposal,2026-06-01
OPP200021,CUST10083,REP1020,P1002,2025-12-09,4925.54,Lost,2025-12-25
OPP200022,CUST10696,REP1018,P1002,2025-11-28,5482.15,Qualified,2025-12-15
OPP200023,CUST10398,REP1018,P1011,2026-06-06,10540.7,Lost,2026-07-12
OPP200024,CUST10510,REP1016,P1012,2026-03-27,22378.17,Prospecting,2026-05-11
OPP200025,CUST10991,REP1017,P1006,2025-11-02,16539.19,Prospecting,2025-11-13
OPP200026,CUST11192,REP1010,P1002,2025-11-04,34529.27,Prospecting,2026-01-02
OPP200027,CUST10483,REP1019,P1002,2026-05-16,45708.84,Prospecting,2026-05-31
OPP200028,CUST10349,REP1009,P1004,2025-11-16,11697.68,Proposal,2025-12-13
OPP200029,CUST11002,REP1015,P1009,2025-11-30,87191.51,Won,2026-01-07
OPP200030,CUST10496,REP1013,P1002,2026-03-18,39481.54,Won,2026-05-15
OPP200031,CUST10240,REP1022,P1008,2026-05-26,57708.78,Won,2026-08-10
OPP200032,CUST11084,REP1027,P1010,2026-01-01,50692.16,Prospecting,2026-01-31
OPP200033,CUST11191,REP1019,P1002,2026-04-02,16246.46,Won,2026-05-18
OPP200034,CUST10347,REP1005,P1012,2026-04-12,11122.41,Proposal,2026-05-22
OPP200035,CUST10190,REP1021,P1012,2026-03-15,6671.2,Won,2026-03-30
OPP200036,CUST10184,REP1010,P1004,2026-04-07,175645.23,Won,2026-06-14
OPP200037,CUST10719,REP1002,P1002,2025-12-02,23055.5,Prospecting,2025-12-30
OPP200038,CUST10372,REP1006,P1004,2026-03-20,67317.35,Proposal,2026-05-06
OPP200039,CUST10748,REP1030,P1004,2025-10-01,279166.43,Lost,2025-12-04
OPP200040,CUST10912,REP1013,P1004,2026-04-19,57692.66,Qualified,2026-06-05
