sales_rep_id,sales_rep_name,region,team
REP1001,Sales Rep 1,East,Inside Sales
REP1002,Sales Rep 2,North,Inside Sales
REP1003,Sales Rep 3,North,Inside Sales
REP1004,Sales Rep 4,West,Commercial Sales
REP1005,Sales Rep 5,West,Enterprise Sales
REP1006,Sales Rep 6,North,Inside Sales
REP1007,Sales Rep 7,North,Inside Sales
REP1008,Sales Rep 8,East,Commercial Sales
REP1009,Sales Rep 9,North,Inside Sales
REP1010,Sales Rep 10,East,Commercial Sales
REP1011,Sales Rep 11,West,Enterprise Sales
REP1012,Sales Rep 12,West,Inside Sales
REP1013,Sales Rep 13,North,Inside Sales
REP1014,Sales Rep 14,North,Inside Sales
REP1015,Sales Rep 15,East,Commercial Sales
REP1016,Sales Rep 16,North,Enterprise Sales
REP1017,Sales Rep 17,East,Enterprise Sales
REP1018,Sales Rep 18,South,Inside Sales
REP1019,Sales Rep 19,East,Commercial Sales
REP1020,Sales Rep 20,North,Inside Sales
REP1021,Sales Rep 21,West,Enterprise Sales
REP1022,Sales Rep 22,East,Commercial Sales
REP1023,Sales Rep 23,North,Commercial Sales
REP1024,Sales Rep 24,South,Enterprise Sales
REP1025,Sales Rep 25,North,Commercial Sales
REP1026,Sales Rep 26,South,Inside Sales
REP1027,Sales Rep 27,South,Commercial Sales
REP1028,Sales Rep 28,North,Enterprise Sales
REP1029,Sales Rep 29,East,Enterprise Sales
REP1030,Sales Rep 30,East,Inside Sales
