transaction_id,customer_id,sales_rep_id,product_id,transaction_date,revenue,quantity,discount_pct,net_revenue
TXN300001,CUST10270,REP1007,P1002,2026-02-13,16111.95,3,0.055,15225.79
TXN300002,CUST10135,REP1022,P1001,2026-06-11,155250.32,11,0.078,143140.8
TXN300003,CUST11002,REP1015,P1009,2026-01-07,68222.72,11,0.083,62560.23
TXN300004,CUST10496,REP1013,P1002,2026-05-15,23909.28,3,0.023,23359.37
TXN300005,CUST10240,REP1022,P1008,2026-08-10,62903.06,8,0.132,54599.86
TXN300006,CUST11191,REP1019,P1002,2026-05-18,45700.02,6,0.093,41449.92
TXN300007,CUST10190,REP1021,P1012,2026-03-30,24423.69,4,0.018,23984.06
TXN300008,CUST10184,REP1010,P1004,2026-06-14,295618.8,11,0.153,250389.12
TXN300009,CUST10747,REP1004,P1001,2025-11-14,22225.43,3,0.061,20869.68
TXN300010,CUST10915,REP1001,P1011,2026-03-17,19188.92,2,0.033,18555.69
TXN300011,CUST10360,REP1029,P1011,2026-05-31,154143.56,7,0.059,145049.09
TXN300012,CUST10875,REP1007,P1002,2026-06-12,15816.67,3,0.022,15468.7
TXN300013,CUST10198,REP1004,P1004,2025-12-15,144768.25,6,0.072,134344.94
TXN300014,CUST10268,REP1027,P1011,2026-07-14,33442.5,3,0.077,30867.43
TXN300015,CUST10882,REP1024,P1002,2025-12-21,14974.79,3,0.065,14001.43
TXN300016,CUST10763,REP1001,P1003,2026-03-07,34104.29,4,0.028,33149.37
TXN300017,CUST10099,REP1004,P1012,2026-07-05,36655.43,4,0.071,34052.89
TXN300018,CUST10928,REP1005,P1008,2026-01-12,16417.3,4,0.021,16072.54
TXN300019,CUST10182,REP1023,P1003,2026-05-20,12572.32,2,0.003,12534.6
TXN300020,CUST10227,REP1020,P1007,2025-11-07,11993.61,2,0.026,11681.78
TXN300021,CUST11018,REP1006,P1011,2026-01-25,137964.11,7,0.067,128720.51
TXN300022,CUST10212,REP1009,P1002,2026-07-31,90639.16,8,0.079,83478.67
TXN300023,CUST11171,REP1003,P1010,2026-02-19,14179.53,3,0.026,13810.86
TXN300024,CUST10885,REP1025,P1006,2026-05-18,46235.13,7,0.061,43414.79
TXN300025,CUST10588,REP1021,P1004,2026-08-16,70459.69,4,0.067,65738.89
TXN300026,CUST10578,REP1028,P1007,2025-11-13,5607.84,1,0.042,5372.31
TXN300027,CUST10348,REP1017,P1008,2026-07-05,40376.33,7,0.057,38074.88
TXN300028,CUST10589,REP1002,P1012,2026-03-06,57186.95,5,0.115,50610.45
TXN300029,CUST10917,REP1017,P1008,2025-11-17,14342.72,4,0.033,13869.41
TXN300030,CUST10661,REP1013,P1002,2026-01-04,14618.5,2,0.116,12922.75
TXN300031,CUST10810,REP1012,P1003,2026-04-28,38161.38,4,0.027,37131.02
TXN300032,CUST10733,REP1008,P1001,2026-06-13,64333.01,7,0.079,59250.7
TXN300033,CUST11012,REP1008,P1004,2026-07-02,12941.63,1,0.015,12747.51
TXN300034,CUST10006,REP1020,P1012,2026-08-01,5971.27,1,0.03,5792.13
TXN300035,CUST11126,REP1025,P1003,2025-12-06,126044.15,9,0.121,110792.81
TXN300036,CUST11094,REP1010,P1006,2026-04-26,4779.76,1,0.061,4488.19
TXN300037,CUST10945,REP1009,P1008,2026-01-04,3779.77,1,0.078,3484.95
TXN300038,CUST10289,REP1021,P1012,2026-05-27,127375.38,10,0.114,112854.59
TXN300039,CUST10942,REP1001,P1010,2026-01-01,18898.3,4,0.021,18501.44
TXN300040,CUST10343,REP1004,P1008,2026-04-22,14132.68,4,0.063,13242.32
TXN300041,CUST10565,REP1027,P1009,2026-07-18,14037.34,4,0.018,13784.67
TXN300042,CUST10219,REP1020,P1004,2026-08-03,226178.22,8,0.116,199941.55
TXN300043,CUST11132,REP1018,P1004,2025-12-30,40632.72,3,0.068,37869.7
TXN300044,CUST10253,REP1003,P1011,2025-12-27,285998.82,12,0.102,256826.94
TXN300045,CUST11108,REP1029,P1004,2026-07-08,38005.42,3,0.045,36295.18
TXN300046,CUST11121,REP1006,P1001,2026-07-25,7445.1,1,0.01,7370.65
